"","TF","target"
"214","AR","MUC1"
"215","AR","MUC4"
"216","AR","MUC5AC"
"217","AR","MYB"
"218","AR","MYC"
"219","AR","MYCN"
"220","AR","MYH6"
"221","AR","NCOA1"
"222","AR","NCOA2"
"223","AR","NCOA3"
"224","AR","NCOA4"
"225","AR","NCOA6"
"226","AR","NCOR1"
"227","AR","NCOR2"
"228","AR","NEDD9"
"229","AR","NFKBIA"
"230","AR","NKX2-1"
"231","AR","NOL3"
"232","AR","NOX1"
"233","AR","NR1D1"
"234","AR","NR1H3"
"235","AR","NRIP1"
"236","AR","NUDT6"
"237","AR","PCK1"
"238","AR","PDHA1"
"239","AR","PGC"
"240","AR","PIGR"
"241","AR","PKD1"
"242","AR","PLAT"
"243","AR","PLAU"
"244","AR","PML"
"245","AR","PNRC1"
"246","AR","POU1F1"
"247","AR","POU2F1"
"248","AR","POU5F1"
"249","AR","PPARG"
"250","AR","PPARGC1A"
"251","AR","PPBP"
"252","AR","PPP2R2C"
"253","AR","PRKCA"
"254","AR","PTGER2"
"255","AR","PTGS1"
"256","AR","PTGS2"
"257","AR","PTHLH"
"258","AR","RARA"
"259","AR","RARB"
"260","AR","RARG"
"261","AR","RARRES3"
"262","AR","RELA"
"263","AR","RETN"
"264","AR","RNF4"
"265","AR","IL2"
"266","AR","S100A8"
"267","AR","S100A9"
"268","AR","SAT1"
"269","AR","SCARB1"
"270","AR","SCD"
"271","AR","SCGB1D1"
"272","AR","SEMA6B"
"273","AR","SERPINE1"
"274","AR","SERPINF1"
"275","AR","SFTPB"
"276","AR","SLC10A2"
"277","AR","SLC5A5"
"278","AR","SMAD3"
"279","AR","SMARCA1"
"280","AR","SMARCA2"
"281","AR","SMPD1"
"282","AR","SNORD116-1"
"283","AR","SOS1"
"284","AR","STAT3"
"285","AR","STAT5B"
"286","AR","STRA6"
"287","AR","TCF7"
"288","AR","TG"
"289","AR","TGFB1"
"290","AR","TGFB2"
"291","AR","TGM1"
"292","AR","THPO"
"293","AR","TMSB10"
"294","AR","TNFAIP2"
"295","AR","TNFRSF11B"
"296","AR","TNFRSF1B"
"297","AR","TPO"
"298","AR","TRPS1"
"299","AR","UBE3A"
"300","AR","UCP1"
"301","AR","UCP2"
"302","AR","UCP3"
"303","AR","UGT1A10"
"304","AR","UGT2B4"
"305","AR","ZMIZ1"
"306","AR","IL6"
"307","AR","ACTA1"
"308","AR","AKR1C3"
"309","AR","ALDH1A3"
"310","AR","ARG1"
"311","AR","ARG2"
"312","AR","ATAD2"
"313","AR","BSG"
"314","AR","BTG1"
"315","AR","BTG2"
"316","AR","CDK20"
"317","AR","CDC6"
"318","AR","CDH1"
"319","AR","CDH11"
"320","AR","CDH2"
"321","AR","CDK6"
"322","AR","CLK3"
"323","AR","CRH"
"324","AR","CRISP1"
"325","AR","CRISP3"
"326","AR","CTNNB1"
"327","AR","CYP7B1"
"328","AR","ELK4"
"329","AR","EP300"
"330","AR","ERBB2"
"331","AR","ERBB3"
"332","AR","ETV1"
"333","AR","FKBP4"
"334","AR","FN1"
"335","AR","FOLH1"
"336","AR","GNMT"
"337","AR","GREB1"
"338","AR","HMMR"
"339","AR","HMOX1"
"340","AR","IFI16"
"341","AR","IGF1R"
"342","AR","IGFBP3"
"343","AR","KISS1"
"344","AR","KISS1R"
"345","AR","KLK1"
"346","AR","KLK4"
"347","AR","MID1"
"348","AR","NAT1"
"349","AR","NDRG1"
"350","AR","NFKB1"
"351","AR","NKX3-1"
"352","AR","NOV"
"353","AR","NRAS"
"354","AR","PC"
"355","AR","PSCA"
"356","AR","PEBP1"
"357","AR","PIP"
"358","AR","PMEPA1"
"359","AR","PTEN"
"360","AR","PTPN1"
"361","AR","REST"
"362","AR","SEPT7"
"363","AR","SERPINB5"
"364","AR","SESN1"
"365","AR","SRD5A3"
"366","AR","STIM1"
"367","AR","TBP"
"368","AR","TCF7L2"
"369","AR","TGFA"
"370","AR","TH"
"371","AR","TJP1"
"372","AR","TMPRSS2"
"373","AR","TSC1"
"374","AR","TSC2"
"375","AR","UCN"
"376","AR","UGT2B15"
"377","AR","USP26"
"378","AR","VIM"
"379","AR","WEE1"
"380","AR","WNT7B"
"381","AR","XIAP"
"382","AR","AADAC"
"383","AR","ABCA1"
"384","AR","ABCA2"
"385","AR","ABCF1"
"386","AR","ABCA4"
"387","AR","ABL1"
"388","AR","ABL2"
"389","AR","ABR"
"390","AR","ACACB"
"391","AR","ACADM"
"392","AR","ACAT2"
"393","AR","ACCN1"
"394","AR","ACO1"
"395","AR","ACP1"
"396","AR","ACTC1"
"397","AR","ACTN4"
"398","AR","ACTN1"
"399","AR","ACVR1"
"400","AR","ACVR2B"
"401","AR","ACVRL1"
"402","AR","ACYP1"
"403","AR","ACYP2"
"404","AR","ADAM10"
"405","AR","ADAR"
"406","AR","ADARB1"
"407","AR","ADARB2"
"408","AR","ADCY8"
"409","AR","ADCY9"
"410","AR","ADCYAP1R1"
"411","AR","ADD1"
"412","AR","ADD3"
"413","AR","PLIN2"
"414","AR","ADH5"
"415","AR","ADH7"
"416","AR","ADK"
"417","AR","ADM"
"418","AR","ADORA1"
"419","AR","ADORA2B"
"420","AR","ADORA3"
"421","AR","ADPRH"
"422","AR","PARP1"
"423","AR","PARP4"
"424","AR","ADRA1D"
"425","AR","ADRA1B"
"426","AR","ADRA2A"
"427","AR","ADRB2"
"428","AR","ADRBK2"
"429","AR","ADSS"
"430","AR","AP1B1"
"431","AR","AFP"
"432","AR","AGA"
"433","AR","ACAN"
"434","AR","AGL"
"435","AR","JAG1"
"436","AR","APLNR"
"437","AR","AHCY"
"438","AR","AHR"
"439","AR","AIM1"
"440","AR","AK2"
"441","AR","AK4"
"442","AR","AKT2"
"443","AR","ALCAM"
"444","AR","ALDH1A1"
"445","AR","ALDH1B1"
"446","AR","ALDH9A1"
"447","AR","ALDH3A2"
"448","AR","ABCD2"
"449","AR","ALK"
"450","AR","ALOX5AP"
"451","AR","ANXA8L2"
"452","AR","ALOX15B"
"453","AR","ALPL"
"454","AR","AMPD3"
"455","AR","AMPH"
"456","AR","BIN1"
"457","AR","AMT"
"458","AR","AMY2B"
"459","AR","ANGPT1"
"460","AR","ANK1"
"461","AR","ANK2"
"462","AR","ANK3"
"463","AR","ANPEP"
"464","AR","ANXA1"
"465","AR","ANXA2"
"466","AR","ANXA3"
"467","AR","ANXA4"
"468","AR","ANXA5"
"469","AR","ANXA6"
"470","AR","ANXA7"
"471","AR","ANXA11"
"472","AR","ANXA13"
"473","AR","AOAH"
"474","AR","AOX1"
"475","AR","APAF1"
"476","AR","APOF"
"477","AR","APBA1"
"478","AR","APBB2"
"479","AR","APCS"
"480","AR","BIRC2"
"481","AR","BIRC3"
"482","AR","APLP2"
"483","AR","APP"
"484","AR","SHROOM2"
"485","AR","AQP3"
"486","AR","ARCN1"
"487","AR","ARF1"
"488","AR","ARF3"
"489","AR","ARF4"
"490","AR","RHOA"
"491","AR","RHOB"
"492","AR","RND3"
"493","AR","ARHGAP5"
"494","AR","ARHGAP6"
"495","AR","RHOH"
"496","AR","ARL3"
"497","AR","ARNT"
"498","AR","ARRB1"
"499","AR","ARSB"
"500","AR","STS"
"501","AR","ARSE"
"502","AR","ART3"
"503","AR","ASIP"
"504","AR","ASNA1"
"505","AR","ASPH"
"506","AR","ASS1"
"507","AR","ASTN1"
"508","AR","ZFHX3"
"509","AR","ATF3"
"510","AR","ATF4"
"511","AR","RERE"
"512","AR","ATOX1"
"513","AR","ATP1A1"
"514","AR","ATP1A2"
"515","AR","ATP1A4"
"516","AR","ATP1B1"
"517","AR","ATP1B3"
"518","AR","ATP2B2"
"519","AR","ATP2B4"
"520","AR","ATP5D"
"521","AR","ATP5E"
"522","AR","ATP5F1"
"523","AR","ATP6V1A"
"524","AR","ATP6V1B2"
"525","AR","ATP6V0B"
"526","AR","ATP6V0A1"
"527","AR","ATP5O"
"528","AR","ATR"
"529","AR","AUH"
"530","AR","AXL"
"531","AR","B2M"
"532","AR","BACH1"
"533","AR","BAI2"
"534","AR","BCAT1"
"535","AR","BCKDHB"
"536","AR","BCL2L1"
"537","AR","BCL3"
"538","AR","BCL6"
"539","AR","BCL9"
"540","AR","HCN2"
"541","AR","BCR"
"542","AR","BDH1"
