,from,to,human_ligand,human_receptor
2207,AMEX60DD049470,AMEX60DD030144,PDGFD,PDGFRB
2208,AMEX60DD004173,AMEX60DD030144,MFGE8,PDGFRB
2209,AMEX60DD020701,AMEX60DD030144,PDGFA,PDGFRB
2210,AMEX60DD045141,AMEX60DD030160,PDGFC,FLT4
2211,AMEX60DD045327,AMEX60DD030160,VEGFC,FLT4
2213,AMEX60DD048295,AMEX60DD030160,VEGFD,FLT4
2214,AMEX60DD022398,AMEX60DD030160,COL1A2,FLT4
2215,AMEX60DD055420,AMEX60DD030160,FN1,FLT4
2216,AMEX60DD039450,AMEX60DD021663,ADCYAP1,VIPR2
2239,AMEX60DD020494,AMEX60DD012651,ARF1,PLD2
2240,AMEX60DD044302,AMEX60DD012651,EGF,PLD2
2247,AMEX60DD034517,AMEX60DD031636,DLL1,NOTCH3
2248,AMEX60DD034535,AMEX60DD031636,PSEN1,NOTCH3
2249,AMEX60DD034565,AMEX60DD031636,THBS2,NOTCH3
2251,AMEX60DD011035,AMEX60DD031636,JAG2,NOTCH3
2255,AMEX60DD047408,AMEX60DD053574,APP,APLP2
2257,AMEX60DD019519,AMEX60DD053574,PCSK9,APLP2
2266,AMEX60DD037487,AMEX60DD004546,GPC3,CD81
2272,AMEX60DD048261,AMEX60DD025098,GAS6,TYRO3
2273,AMEX60DD048309,AMEX60DD025098,PROS1,TYRO3
2274,AMEX60DD036418,AMEX60DD025098,VEGFA,TYRO3
2302,AMEX60DD045141,AMEX60DD045536,PDGFC,KDR
2303,AMEX60DD045327,AMEX60DD045536,VEGFC,KDR
2305,AMEX60DD048295,AMEX60DD045536,VEGFD,KDR
2306,AMEX60DD007066,AMEX60DD045536,TIMP3,KDR
2307,AMEX60DD014782,AMEX60DD045536,SEMA6D,KDR
2309,AMEX60DD055544,AMEX60DD045536,COL18A1,KDR
2310,AMEX60DD036418,AMEX60DD045536,VEGFA,KDR
2312,AMEX60DD034661,AMEX60DD053824,AFDN,NECTIN1
2314,AMEX60DD039130,AMEX60DD002665,LAMA1,GPC1
2315,AMEX60DD043026,AMEX60DD002665,TDGF1,GPC1
2318,AMEX60DD043761,AMEX60DD002665,NRG1,GPC1
2319,AMEX60DD047408,AMEX60DD002665,APP,GPC1
