,from,to,human_ligand,human_receptor
3276,AMEX60DD040289,AMEX60DD044621,ANGPT1,TEK
3277,AMEX60DD005922,AMEX60DD046213,COL8A2,SLC4A11
3281,AMEX60DD006363,AMEX60DD048520,IRAK4,TLR7
3284,AMEX60DD045792,AMEX60DD033101,SLIT2,SDC1
3287,AMEX60DD039130,AMEX60DD029322,LAMA1,TMPRSS6
3297,AMEX60DD033369,AMEX60DD011957,ALKAL2,ALK
3330,AMEX60DD019011,AMEX60DD055359,CCN1,ITGB2
3331,AMEX60DD046082,AMEX60DD055359,SPON2,ITGB2
3338,AMEX60DD033801,AMEX60DDU001036868,CGA,FSHR
3339,AMEX60DD004926,AMEX60DDU001036868,FSHB,FSHR
3342,AMEX60DD034687,AMEX60DD055675,LAMA2,ITGA6
3343,AMEX60DD002596,AMEX60DD055675,ADAM9,ITGA6
3346,AMEX60DD045792,AMEX60DD041771,SLIT2,DCC
3350,AMEX60DDU001003602,AMEX60DD002586,NCAM1,FGFR1
3351,AMEX60DD037078,AMEX60DD002586,FGF16,FGFR1
3352,AMEX60DD003212,AMEX60DD002586,FGF12,FGFR1
