,from,to,type,pathway
523,Ebi3,Il6st_il12rb2,Secreted Signaling,
524,Ebi3,Il12rb2,Secreted Signaling,
525,Il12a,Il6st_il12rb2,Secreted Signaling,
526,Il12a,Il6st,Secreted Signaling,
527,Il1f10,Il1rl2_il1rap,Secreted Signaling,
528,Il1f10,Il1rl2,Secreted Signaling,
529,Il1f10,Il1rap,Secreted Signaling,
530,Il1f8,Il1rl2_il1rap,Secreted Signaling,
531,Il1f8,Il1rl2,Secreted Signaling,
532,Il1f8,Il1rap,Secreted Signaling,
533,Il1f9,Il1rl2_il1rap,Secreted Signaling,
534,Il1f9,Il1rl2,Secreted Signaling,
535,Il1f9,Il1rap,Secreted Signaling,
536,Il1f5,Il1rl2_il1rap,Secreted Signaling,
537,Il1f5,Il1rl2,Secreted Signaling,
538,Il1f5,Il1rap,Secreted Signaling,
539,Il1f6,Il1rl2_il1rap,Secreted Signaling,
540,Il1f6,Il1rl2,Secreted Signaling,
541,Il1f6,Il1rap,Secreted Signaling,
542,Il4,Il2rg_il4ra,Secreted Signaling,
543,Il4,Il2rg,Secreted Signaling,
544,Il5,Csf2rb_il5ra,Secreted Signaling,
545,Il5,Csf2rb,Secreted Signaling,
546,Il5,Il5ra,Secreted Signaling,
547,Il6,Il6ra_il6st,Secreted Signaling,
548,Il6,Il6ra,Secreted Signaling,
549,Il6,Il6st,Secreted Signaling,
550,Il7,Il7r_il2rg,Secreted Signaling,
551,Il7,Il7r,Secreted Signaling,
552,Il7,Il2rg,Secreted Signaling,
553,Il9,Il9r_il2rg,Secreted Signaling,
554,Il9,Il9r,Secreted Signaling,
555,Il9,Il2rg,Secreted Signaling,
556,Osm,Lifr_il6st,Secreted Signaling,
557,Osm,Lifr,Secreted Signaling,
558,Osm,Il6st,Secreted Signaling,
559,Lif,Lifr_il6st,Secreted Signaling,
560,Lif,Lifr,Secreted Signaling,
561,Lif,Il6st,Secreted Signaling,
562,Agrn,Musk_lrp4,Secreted Signaling,
563,Agrn,Musk,Secreted Signaling,
564,Agrn,Lrp4,Secreted Signaling,
565,Tyr,Gpr143,Secreted Signaling,
566,Lta4h,Gpr17,Secreted Signaling,
567,Lta4h,Ltb4r1,Secreted Signaling,
568,Lta4h,Ltb4r2,Secreted Signaling,
569,Alox5ap_alox5_ltc4s,Gpr17,Secreted Signaling,
570,Alox5ap,Gpr17,Secreted Signaling,
571,Alox5,Gpr17,Secreted Signaling,
572,Ltc4s,Gpr17,Secreted Signaling,
573,Alox5ap_alox5_ltc4s,Cysltr2,Secreted Signaling,
574,Alox5ap,Cysltr2,Secreted Signaling,
575,Alox5,Cysltr2,Secreted Signaling,
576,Ltc4s,Cysltr2,Secreted Signaling,
577,Alox5ap_alox5_ltc4s,Cysltr1,Secreted Signaling,
578,Alox5ap,Cysltr1,Secreted Signaling,
579,Alox5,Cysltr1,Secreted Signaling,
580,Ltc4s,Cysltr1,Secreted Signaling,
581,Ggt1_ggt5,Gpr17,Secreted Signaling,
582,Ggt1,Gpr17,Secreted Signaling,
583,Ggt5,Gpr17,Secreted Signaling,
584,Ggt1_ggt5,Cysltr2,Secreted Signaling,
585,Ggt1,Cysltr2,Secreted Signaling,
586,Ggt5,Cysltr2,Secreted Signaling,
587,Ggt1_ggt5,Cysltr1,Secreted Signaling,
588,Ggt1,Cysltr1,Secreted Signaling,
589,Ggt5,Cysltr1,Secreted Signaling,
590,Dpep1,Cysltr1,Secreted Signaling,
591,Dpep2,Cysltr1,Secreted Signaling,
592,Dpep3,Cysltr1,Secreted Signaling,
593,Alox12,Fpr2,Secreted Signaling,
594,Alox12,Cysltr1,Secreted Signaling,
595,Alox5_alox5ap_ltc4s,Fpr2,Secreted Signaling,
596,Alox5,Fpr2,Secreted Signaling,
597,Alox5ap,Fpr2,Secreted Signaling,
598,Ltc4s,Fpr2,Secreted Signaling,
599,Alox5_alox5ap_ltc4s,Cysltr1,Secreted Signaling,
600,Amh,Amhr2_bmpr1a,Secreted Signaling,
601,Amh,Amhr2,Secreted Signaling,
602,Amh,Bmpr1a,Secreted Signaling,
603,Amh,Amhr2_bmpr1b,Secreted Signaling,
604,Amh,Bmpr1b,Secreted Signaling,
605,Amh,Amhr2_acvr1,Secreted Signaling,
606,Amh,Acvr1,Secreted Signaling,
607,Nodal,Acvr1b_acvr2a_cfc1,Secreted Signaling,
608,Nodal,Acvr1b,Secreted Signaling,
609,Nodal,Acvr2a,Secreted Signaling,
610,Nodal,Cfc1,Secreted Signaling,
611,Nodal,Acvr1b_acvr2a_tdgf1,Secreted Signaling,
612,Nodal,Tdgf1,Secreted Signaling,
613,Nodal,Acvr1b_acvr2b_cfc1,Secreted Signaling,
614,Nodal,Acvr2b,Secreted Signaling,
615,Nodal,Acvr1b_acvr2b_tdgf1,Secreted Signaling,
616,Nodal,Acvr1c_acvr2b_cfc1,Secreted Signaling,
617,Nodal,Acvr1c,Secreted Signaling,
618,Nodal,Acvr1c_acvr2b_tdgf1,Secreted Signaling,
619,Dbh,Adrb2,Secreted Signaling,
620,Dbh,Adrb1,Secreted Signaling,
621,Dbh,Adra2a,Secreted Signaling,
622,Dbh,Adrb3,Secreted Signaling,
623,Dbh,Adra2b,Secreted Signaling,
624,Dbh,Adra2c,Secreted Signaling,
625,Dbh,Adra1d,Secreted Signaling,
626,Dbh,Adra1a,Secreted Signaling,
627,Dbh,Adra1b,Secreted Signaling,
628,Retn,Gpr25,Secreted Signaling,
629,Ccl24,Ccr2,Secreted Signaling,
630,Ccl24,Ccr3,Secreted Signaling,
631,Tnfsf10,Tnfrsf10b,Secreted Signaling,
632,Cort,Sstr1,Secreted Signaling,
633,Cort,Sstr2,Secreted Signaling,
634,Cort,Sstr4,Secreted Signaling,
635,Cort,Sstr3,Secreted Signaling,
636,Cort,Sstr5,Secreted Signaling,
637,Cort,Ghsr,Secreted Signaling,
638,Cort,Mrgprb1,Secreted Signaling,
639,Agrp,Mc4r,Secreted Signaling,
640,Agrp,Mc5r,Secreted Signaling,
641,Agrp,Mc3r,Secreted Signaling,
642,Tulp1,Tyro3,Secreted Signaling,
643,Tnfrsf11b,Tnfsf11,Secreted Signaling,
644,Ccl19,Ccrl2,Secreted Signaling,
645,Rarres2,Ccrl2,Secreted Signaling,
646,Agrn,Ncam1,Secreted Signaling,
647,Agrn,Ptprs,Secreted Signaling,
648,Dll1,Notch1,Cell-Cell Contact,
649,Dll1,Notch2,Cell-Cell Contact,
650,Dll1,Notch4,Cell-Cell Contact,
651,Dll1,Notch3,Cell-Cell Contact,
652,Cxcl16,Cxcr6,Secreted Signaling,
653,Rnaset2a,Tlr8,Secreted Signaling,
654,Ccl21a,Ccr7,Secreted Signaling,
655,Ccl21a,Ackr4,Secreted Signaling,
656,Ccl4,Ackr2,Secreted Signaling,
657,Ccl12,Ackr2,Secreted Signaling,
658,Ccl5,Ackr2,Secreted Signaling,
659,Ccl11,Ackr2,Secreted Signaling,
660,Ccl2,Ackr2,Secreted Signaling,
661,Ccl28,Ackr2,Secreted Signaling,
662,Ccl27b,Ackr2,Secreted Signaling,
663,Ccl22,Dpp4,Secreted Signaling,
664,Ccl22,Ccr4,Secreted Signaling,
665,Wnt7a,Ldlr,Secreted Signaling,
666,Nrg2,Erbb3,Secreted Signaling,
667,Nrg2,Erbb4,Secreted Signaling,
668,Vegfa,Nrp1,Secreted Signaling,
669,Pgf,Nrp1,Secreted Signaling,
670,Vegfb,Nrp1,Secreted Signaling,
671,Sema3a,Nrp1,Secreted Signaling,
672,Tnfsf11,Tnfrsf11a,Secreted Signaling,
673,Mstn,Tgfbr1_acvr2a,Secreted Signaling,
674,Mstn,Tgfbr1,Secreted Signaling,
675,Mstn,Acvr2a,Secreted Signaling,
676,Mstn,Tgfbr1_acvr2b,Secreted Signaling,
677,Tnfsf13,Tnfrsf13b,Secreted Signaling,
678,Cd70,Tnfrsf13b,Secreted Signaling,
679,Tnfsf13b,Tnfrsf13b,Secreted Signaling,
680,Ereg,Egfr,Secreted Signaling,
681,Ereg,Erbb4,Secreted Signaling,
682,Ptn,Plxnb2,Secreted Signaling,
683,Sema4d,Plxnb2,Cell-Cell Contact,
684,Sema4c,Plxnb2,Cell-Cell Contact,
685,Sema4g,Plxnb2,Cell-Cell Contact,
686,Sema3e,Plxnd1,Secreted Signaling,
687,Angpt2,Tek,Secreted Signaling,
688,Efnb2,Ephb6,Cell-Cell Contact,
689,Efnb1,Ephb6,Cell-Cell Contact,
690,Efnb3,Ephb6,Cell-Cell Contact,
691,Vgf,Ntrk1,Secreted Signaling,
692,Psap,Gpr37,Secreted Signaling,
693,Il16,Grin2d,Secreted Signaling,
694,Ccl25,Ccr9,Secreted Signaling,
695,Ccl25,Ackr4,Secreted Signaling,
696,Fgf10,Fgfr2,Secreted Signaling,
697,Bmp10,Ffar2,Secreted Signaling,
698,Tnf,Ffar2,Secreted Signaling,
699,Fam3c,Ffar2,Secreted Signaling,
700,Sema4d,Plxnb1,Secreted Signaling,
701,Dhh,Ptch1_boc,Secreted Signaling,
702,Dhh,Ptch1,Secreted Signaling,
703,Dhh,Boc,Secreted Signaling,
704,Dhh,Ptch1_cdon,Secreted Signaling,
705,Dhh,Cdon,Secreted Signaling,
706,Dhh,Ptch1_gas1,Secreted Signaling,
707,Dhh,Gas1,Secreted Signaling,
708,Tnfsf12,Tnfrsf25,Secreted Signaling,
709,Tnfsf12,Tnfrsf12a,Secreted Signaling,
710,Tnfsf14,Ltbr,Secreted Signaling,
711,Tnfsf14,Tnfrsf14,Secreted Signaling,
712,Hcrt,Hcrtr1,Secreted Signaling,
713,Hcrt,Hcrtr2,Secreted Signaling,
714,Tyrobp,Cd44,Cell-Cell Contact,
715,Vegfd,Flt4,Secreted Signaling,
716,Vegfd,Kdr,Secreted Signaling,
717,Efna2,Epha1,Cell-Cell Contact,
718,Efna2,Epha2,Cell-Cell Contact,
719,Efna2,Epha3,Cell-Cell Contact,
720,Efna2,Epha8,Cell-Cell Contact,
721,Efna2,Epha5,Cell-Cell Contact,
722,Efna2,Epha4,Cell-Cell Contact,
723,Efna2,Epha7,Cell-Cell Contact,
724,Cxcl13,Cxcr5,Secreted Signaling,
725,Cxcl13,Ackr4,Secreted Signaling,
726,Fgf17,Fgfr2,Secreted Signaling,
727,Fgf17,Fgfr3,Secreted Signaling,
728,Gdf9,Tgfbr1_bmpr2,Secreted Signaling,
729,Gdf9,Tgfbr1,Secreted Signaling,
730,Gdf9,Bmpr2,Secreted Signaling,
731,Vegfa,Nrp2,Secreted Signaling,
732,Pgf,Nrp2,Secreted Signaling,
733,Sema3f,Nrp2,Secreted Signaling,
734,Sema3c,Nrp2,Secreted Signaling,
735,Sema7a,Plxnc1,Cell-Cell Contact,
736,Pspn,Ret_gfra4,Secreted Signaling,
737,Pspn,Ret,Secreted Signaling,
738,Pspn,Gfra4,Secreted Signaling,
739,Psap,Gpr37l1,Secreted Signaling,
740,Adm,Ramp3,Secreted Signaling,
741,Slit1,Robo1,Secreted Signaling,
742,Icosl,Icos,Cell-Cell Contact,
743,Dkk1,Lrp5,Secreted Signaling,
744,Sostdc1,Lrp5,Secreted Signaling,
745,Sema7a,Itgb1_itga1,Cell-Cell Contact,
746,Sema7a,Itgb1,Cell-Cell Contact,
747,Sema7a,Itga1,Cell-Cell Contact,
748,Cyp11a1_fdx2_fdx1_fdxr,Nr1i2,Secreted Signaling,
749,Cyp11a1,Nr1i2,Secreted Signaling,
750,Fdx2,Nr1i2,Secreted Signaling,
751,Fdx1,Nr1i2,Secreted Signaling,
752,Fdxr,Nr1i2,Secreted Signaling,
753,Rspo4,Lgr5,Secreted Signaling,
754,Rspo1,Lgr5,Secreted Signaling,
755,Rspo2,Lgr5,Secreted Signaling,
756,Rspo3,Lgr5,Secreted Signaling,
757,Tnfrsf21,App,Cell-Cell Contact,
758,Dkk1,Lrp6,Secreted Signaling,
759,Sostdc1,Lrp6,Secreted Signaling,
760,Dkk2,Lrp6,Secreted Signaling,
761,Ren1,Atp6ap2,Secreted Signaling,
762,Tnfsf13,Tnfrsf1a,Secreted Signaling,
763,Tnfsf13,Fas,Secreted Signaling,
764,Tnfsf13,Tnfrsf17,Secreted Signaling,
765,Tnfsf13,Tnfrsf14,Secreted Signaling,
766,Fgf18,Fgfr2,Secreted Signaling,
767,Fgf18,Fgfr3,Secreted Signaling,
768,Slit2,Robo2,Secreted Signaling,
769,Slit2,Robo1,Secreted Signaling,
770,Tnfsf15,Tnfrsf25,Secreted Signaling,
771,Ntn1,Unc5c,Secreted Signaling,
772,Ddc,Htr3b,Secreted Signaling,
773,Gdf11,Antxr1,Secreted Signaling,
774,Gdf11,Tgfbr1_acvr2a,Secreted Signaling,
775,Gdf11,Tgfbr1,Secreted Signaling,
776,Gdf11,Tgfbr1_acvr2b,Secreted Signaling,
777,Bmp10,Gpr152,Secreted Signaling,
778,Bmp10,Vsir,Secreted Signaling,
779,Uts2,Uts2r,Secreted Signaling,
780,Ntn1,Dcc,Secreted Signaling,
781,Ntn1,Unc5a,Secreted Signaling,
782,Ntn1,Unc5b,Secreted Signaling,
783,Cxcl14,Cxcr4,Secreted Signaling,
784,Crtam,Cadm1,Cell-Cell Contact,
785,Fgf15,Nr1h4,Secreted Signaling,
786,Ccl5,Gpr75,Secreted Signaling,
787,Cer1,Mrc2,Secreted Signaling,
788,Cd160,Tnfrsf14,Cell-Cell Contact,
789,Osm,Osmr_il6st,Secreted Signaling,
790,Osm,Osmr,Secreted Signaling,
791,Egf,Egfr,Secreted Signaling,
792,Tgfa,Egfr,Secreted Signaling,
793,Tgfb1,Egfr,Secreted Signaling,
794,Mif,Egfr,Secreted Signaling,
795,Areg,Egfr,Secreted Signaling,
796,Cntf,Egfr,Secreted Signaling,
797,Grn,Egfr,Secreted Signaling,
798,Btc,Egfr,Secreted Signaling,
799,Epgn,Egfr,Secreted Signaling,
800,Hbegf,Egfr,Secreted Signaling,
801,F2,Thbd,Secreted Signaling,
802,F2,Itga2b_itgb3,Secreted Signaling,
803,F2,Itga2b,Secreted Signaling,
804,F2,Itgb3,Secreted Signaling,
805,F2,Itgav_itgb3,Secreted Signaling,
806,F2,Itgav,Secreted Signaling,
807,F10,Itgb2_itgam,Secreted Signaling,
808,F10,Itgb2,Secreted Signaling,
809,F10,Itgam,Secreted Signaling,
810,Plg,Itga2b_itgb3,Secreted Signaling,
811,Plg,Itga2b,Secreted Signaling,
812,Plg,Itgb3,Secreted Signaling,
813,Plau,Plaur,Secreted Signaling,
814,Agt,Agtr1a,Secreted Signaling,
815,Agt,Agtr2,Secreted Signaling,
816,C3,C3ar1,Secreted Signaling,
817,C3,C5ar2,Secreted Signaling,
818,C3,Itgb2_itgam,Secreted Signaling,
819,C3,Itgb2,Secreted Signaling,
820,C3,Itgam,Secreted Signaling,
821,Hc,C5ar1,Secreted Signaling,
822,Hc,C5ar2,Secreted Signaling,
823,Timp1,Fgfr2,Secreted Signaling,
824,Kng1,Bdkrb2,Secreted Signaling,
825,Kng1,Bdkrb1,Secreted Signaling,
826,Kng1,Rxfp4,Secreted Signaling,
827,Pdgfb,Pdgfrb,Secreted Signaling,
828,Pdgfb,Pdgfra,Secreted Signaling,
829,Pdgfb,Pdgfra_pdgfrb,Secreted Signaling,
830,Pdgfb,Lrp1,Secreted Signaling,
831,Pdgfb,Adgrv1,Secreted Signaling,
832,Tgfb1,Ar,Secreted Signaling,
833,Tgfb1,Vdr,Secreted Signaling,
834,Tgfb1,Tgfbr3,Secreted Signaling,
835,Tgfb1,Tgfbr1_tgfbr2,Secreted Signaling,
836,Tgfb1,Tgfbr1,Secreted Signaling,
837,Tgfb1,Tgfbr2,Secreted Signaling,
838,Tgfb1,Tgfbr2_acvr1,Secreted Signaling,
839,Tgfb1,Acvr1,Secreted Signaling,
840,Tgfb1,Itgav_itgb6,Secreted Signaling,
841,Tgfb1,Itgav,Secreted Signaling,
842,Tgfb1,Itgb6,Secreted Signaling,
843,Ngf,Ntrk1,Secreted Signaling,
844,Ngf,Ngfr,Secreted Signaling,
845,Ngf,Sort1,Secreted Signaling,
846,Gnrh1,Gnrhr,Secreted Signaling,
847,Nppa,Esr1,Secreted Signaling,
848,Nppa,Npr1,Secreted Signaling,
849,Nppa,Npr3,Secreted Signaling,
850,Nppa,Npr2,Secreted Signaling,
851,Nppa,Rorb,Secreted Signaling,
852,Oxt,Oxtr,Secreted Signaling,
853,Oxt,Esr2,Secreted Signaling,
854,Avp,Avpr2,Secreted Signaling,
855,Avp,Oxtr,Secreted Signaling,
856,Avp,Avpr1a,Secreted Signaling,
857,Avp,Avpr1b,Secreted Signaling,
858,Pomc,Mc4r,Secreted Signaling,
859,Pomc,Mc5r,Secreted Signaling,
860,Pomc,Oprm1,Secreted Signaling,
861,Pomc,Oprd1,Secreted Signaling,
862,Pomc,Oprk1,Secreted Signaling,
863,Pomc,Mc3r,Secreted Signaling,
864,Pomc,Mc2r,Secreted Signaling,
865,Pomc,Mc1r,Secreted Signaling,
866,Penk,Oprm1,Secreted Signaling,
867,Penk,Oprd1,Secreted Signaling,
868,Penk,Oprk1,Secreted Signaling,
869,Penk,Mrgprb2,Secreted Signaling,
870,Pdyn,Oprm1,Secreted Signaling,
871,Pdyn,Oprd1,Secreted Signaling,
872,Pdyn,Oprk1,Secreted Signaling,
873,Prl,Prlr,Secreted Signaling,
874,Pth,Pth2r,Secreted Signaling,
875,Pth,Pth1r,Secreted Signaling,
876,Vip,Dpp4,Secreted Signaling,
877,Vip,Vipr1,Secreted Signaling,
878,Vip,Avpr1a,Secreted Signaling,
879,Vip,Vipr2,Secreted Signaling,
880,Ghrh,Vipr1,Secreted Signaling,
881,Ghrh,Ghrhr,Secreted Signaling,
882,Ppy,Npy5r,Secreted Signaling,
883,Ins2,Insr,Secreted Signaling,
884,Ins2,Ide,Secreted Signaling,
885,Igf2,Igf1r,Secreted Signaling,
886,Igf2,Igf2r,Secreted Signaling,
887,Igf2,Ide,Secreted Signaling,
888,Igf2,Gpr152,Secreted Signaling,
889,Gast,Cckbr,Secreted Signaling,
890,Gast,Gpr152,Secreted Signaling,
891,Lta,Tnfrsf1a,Secreted Signaling,
892,Lta,Tnfrsf1b,Secreted Signaling,
893,Lta,Ltbr,Secreted Signaling,
894,Lta,Ripk1,Secreted Signaling,
895,Lta,Tnfrsf14,Secreted Signaling,
896,Tnf,Tnfrsf1a,Secreted Signaling,
897,Tnf,Tnfrsf1b,Secreted Signaling,
898,Tnf,Fas,Secreted Signaling,
899,Tnf,Flt4,Secreted Signaling,
900,Tnf,Notch1,Secreted Signaling,
901,Tnf,Ptprs,Secreted Signaling,
902,Tnf,Ripk1,Secreted Signaling,
903,Tnf,Dag1,Secreted Signaling,
904,Tnf,Sema4c,Secreted Signaling,
905,Tnf,Vsir,Secreted Signaling,
906,Tnf,Celsr2,Secreted Signaling,
907,Tnf,Icos,Secreted Signaling,
908,Ifnb1,Ifnar1_ifnar2,Secreted Signaling,
909,Ifnb1,Ifnar1,Secreted Signaling,
910,Ifnb1,Ifnar2,Secreted Signaling,
911,Ifng,Ifngr1_ifngr2,Secreted Signaling,
912,Ifng,Ifngr1,Secreted Signaling,
913,Ifng,Ifngr2,Secreted Signaling,
914,Il1b,Adrb2,Secreted Signaling,
915,Epo,Epor,Secreted Signaling,
916,Epo,Efnb2,Secreted Signaling,
917,Epo,Ephb4,Secreted Signaling,
918,Col1a1,Itgb1_itga10,Secreted Signaling,
919,Col1a1,Itgb1,Secreted Signaling,
920,Col1a1,Itga10,Secreted Signaling,
921,Col1a1,Itgb1_itga11,Secreted Signaling,
922,Col1a1,Itga11,Secreted Signaling,
923,Col1a1,Itgb1_itga1,Secreted Signaling,
924,Col1a1,Itga1,Secreted Signaling,
925,Col1a1,Itgb1_itga2,Secreted Signaling,
926,Col1a1,Itga2,Secreted Signaling,
927,Col2a1,Itgb1_itga10,Secreted Signaling,
928,Col2a1,Itgb1,Secreted Signaling,
929,Col2a1,Itga10,Secreted Signaling,
930,Col2a1,Itgb1_itga11,Secreted Signaling,
931,Col2a1,Itga11,Secreted Signaling,
932,Col2a1,Itgb1_itga1,Secreted Signaling,
933,Col2a1,Itga1,Secreted Signaling,
934,Col2a1,Itgb1_itga2,Secreted Signaling,
935,Col2a1,Itga2,Secreted Signaling,
936,Col3a1,Itgb1_itga10,Secreted Signaling,
937,Col3a1,Itgb1,Secreted Signaling,
938,Col3a1,Itga10,Secreted Signaling,
939,Col3a1,Itgb1_itga11,Secreted Signaling,
940,Col3a1,Itga11,Secreted Signaling,
941,Col3a1,Itgb1_itga1,Secreted Signaling,
942,Col3a1,Itga1,Secreted Signaling,
943,Col3a1,Itgb1_itga2,Secreted Signaling,
944,Col3a1,Itga2,Secreted Signaling,
945,Col4a1,Itgb1_itga10,Secreted Signaling,
946,Col4a1,Itgb1,Secreted Signaling,
947,Col4a1,Itga10,Secreted Signaling,
948,Col4a1,Itgb1_itga11,Secreted Signaling,
949,Col4a1,Itga11,Secreted Signaling,
950,Col4a1,Itgb1_itga1,Secreted Signaling,
951,Col4a1,Itga1,Secreted Signaling,
952,Col4a1,Itgb1_itga2,Secreted Signaling,
953,Col4a1,Itga2,Secreted Signaling,
954,Apoa1,Trem2_tyrobp,Secreted Signaling,
955,Apoa1,Trem2,Secreted Signaling,
956,Apoa1,Tyrobp,Secreted Signaling,
957,Apoe,Trem2_tyrobp,Secreted Signaling,
958,Apoe,Trem2,Secreted Signaling,
959,Apoe,Tyrobp,Secreted Signaling,
960,Apoa2,Trem2_tyrobp,Secreted Signaling,
961,Apoa2,Trem2,Secreted Signaling,
962,Apoa2,Tyrobp,Secreted Signaling,
963,Fn1,Itgb1_itga10,Secreted Signaling,
964,Fn1,Itgb1,Secreted Signaling,
965,Fn1,Itga10,Secreted Signaling,
966,Fn1,Itgb1_itga11,Secreted Signaling,
967,Fn1,Itga11,Secreted Signaling,
968,Fn1,Itga2b_itgb3,Secreted Signaling,
969,Fn1,Itga2b,Secreted Signaling,
970,Fn1,Itgb3,Secreted Signaling,
971,Fn1,Itgb1_itga2,Secreted Signaling,
972,Fn1,Itga2,Secreted Signaling,
973,Fn1,Itgb1_itga3,Secreted Signaling,
974,Fn1,Itga3,Secreted Signaling,
975,Fn1,Itgb1_itga4,Secreted Signaling,
976,Fn1,Itga4,Secreted Signaling,
977,Fn1,Itgb7_itga4,Secreted Signaling,
978,Fn1,Itgb7,Secreted Signaling,
979,Fn1,Itgb1_itga5,Secreted Signaling,
980,Fn1,Itga5,Secreted Signaling,
981,Fn1,Itgb1_itga8,Secreted Signaling,
982,Fn1,Itga8,Secreted Signaling,
983,Fn1,Itgb1_itgav,Secreted Signaling,
984,Fn1,Itgav,Secreted Signaling,
985,Fn1,Itgav_itgb3,Secreted Signaling,
986,Fn1,Itgb5_itgav,Secreted Signaling,
987,Fn1,Itgb5,Secreted Signaling,
988,Rbp4,Stra6,Secreted Signaling,
989,Ttr,Ngfr,Secreted Signaling,
990,Ttr,Ddr1,Secreted Signaling,
991,Ttr,Ager,Secreted Signaling,
992,Pf4,Cxcr3,Secreted Signaling,
993,Pf4,Ackr1,Secreted Signaling,
994,Cxcl10,Dpp4,Secreted Signaling,
995,Cxcl10,Cxcr3,Secreted Signaling,
996,Trf,Tfrc,Secreted Signaling,
997,Tfrc,Hfe,Cell-Cell Contact,
998,Tnfsf13b,Tfrc,Secreted Signaling,
999,Trf,Tfr2,Secreted Signaling,
1000,Tff1,Esr1,Secreted Signaling,
1001,Bdnf,Esr1,Secreted Signaling,
1002,Il25,Esr1,Secreted Signaling,
1003,Vtn,Itga2b_itgb3,Secreted Signaling,
1004,Vtn,Itga2b,Secreted Signaling,
1005,Vtn,Itgb3,Secreted Signaling,
1006,Vtn,Itgb1_itgav,Secreted Signaling,
1007,Vtn,Itgb1,Secreted Signaling,
1008,Vtn,Itgav,Secreted Signaling,
1009,Vtn,Itgav_itgb3,Secreted Signaling,
1010,Proc,Procr,Secreted Signaling,
1011,Anxa1,Fpr1,Secreted Signaling,
1012,Anxa1,Fpr2,Secreted Signaling,
1013,Pdgfa,Pdgfra,Secreted Signaling,
1014,Apob,Apobr,Secreted Signaling,
1015,Apob,Trem2_tyrobp,Secreted Signaling,
1016,Apob,Trem2,Secreted Signaling,
1017,Apob,Tyrobp,Secreted Signaling,
1018,Csf2,Nr3c1,Secreted Signaling,
1019,Csf2,Csf1r,Secreted Signaling,
1020,Il5,Nr3c1,Secreted Signaling,
1021,Ccl12,Nr3c1,Secreted Signaling,
1022,Il10,Nr3c1,Secreted Signaling,
1023,Fasl,Nr3c1,Secreted Signaling,
1024,Ccl11,Nr3c1,Secreted Signaling,
1025,Tff1,Fgfr2,Secreted Signaling,
1026,Tff1,Esr2,Secreted Signaling,
1027,Thy1,Itgb2_itgam,Cell-Cell Contact,
1028,Thy1,Itgb2,Cell-Cell Contact,
1029,Thy1,Itgam,Cell-Cell Contact,
1030,Thy1,Itgav_itgb3,Cell-Cell Contact,
1031,Thy1,Itgav,Cell-Cell Contact,
1032,Thy1,Itgb3,Cell-Cell Contact,
1033,Thy1,Itgax_itgb2,Cell-Cell Contact,
1034,Thy1,Itgax,Cell-Cell Contact,
1035,Cd74,App,Cell-Cell Contact,
1036,Mif,Cd74,Secreted Signaling,
1037,Vwf,Itgav_itgb3,Secreted Signaling,
1038,Vwf,Itgav,Secreted Signaling,
1039,Vwf,Itgb3,Secreted Signaling,
1040,Hbegf,Erbb2,Secreted Signaling,
1041,Wnt1,Cd36,Secreted Signaling,
1042,Ntf3,Ntrk1,Secreted Signaling,
1043,Grn,Ntrk1,Secreted Signaling,
1044,Nampt,Ntrk1,Secreted Signaling,
1045,Rln1,Ar,Secreted Signaling,
1046,Rln1,Rxfp2,Secreted Signaling,
1047,Rln1,Rxfp1,Secreted Signaling,
1048,Ifna1,Ifnar1_ifnar2,Secreted Signaling,
1049,Ifna1,Ifnar1,Secreted Signaling,
1050,Ifna1,Ifnar2,Secreted Signaling,
1051,Igf1,Itgb4_itga6,Secreted Signaling,
1052,Igf1,Itgb4,Secreted Signaling,
1053,Igf1,Itga6,Secreted Signaling,
1054,Igf1,Itgav_itgb3,Secreted Signaling,
1055,Igf1,Itgav,Secreted Signaling,
1056,Igf1,Itgb3,Secreted Signaling,
1057,App,Fpr2,Cell-Cell Contact,
1058,App,Sorl1,Cell-Cell Contact,
1059,App,Trem2_tyrobp,Cell-Cell Contact,
1060,App,Trem2,Cell-Cell Contact,
1061,App,Tyrobp,Cell-Cell Contact,
1062,Il4,Il13ra2,Secreted Signaling,
1063,Fgf1,Fgfr1,Secreted Signaling,
1064,Fgf1,Fgfr2,Secreted Signaling,
1065,Fgf1,Fgfr4,Secreted Signaling,
1066,Fgf1,Fgfr3,Secreted Signaling,
1067,Fgf1,Tgfbr3,Secreted Signaling,
1068,Fgf1,Itgav_itgb3,Secreted Signaling,
1069,Fgf1,Itgav,Secreted Signaling,
1070,Fgf1,Itgb3,Secreted Signaling,
1071,Il6,Hrh1,Secreted Signaling,
1072,Areg,Icam1,Secreted Signaling,
1073,Icam1,Spn,Cell-Cell Contact,
1074,Icam1,Itgal,Cell-Cell Contact,
1075,Icam1,Itgb2_itgal,Cell-Cell Contact,
1076,Icam1,Itgb2,Cell-Cell Contact,
1077,Icam1,Itgb2_itgam,Cell-Cell Contact,
1078,Icam1,Itgam,Cell-Cell Contact,
1079,Icam1,Itgax_itgb2,Cell-Cell Contact,
1080,Icam1,Itgax,Cell-Cell Contact,
1081,Col5a2,Itgb1_itga10,Secreted Signaling,
1082,Col5a2,Itgb1,Secreted Signaling,
1083,Col5a2,Itga10,Secreted Signaling,
1084,Col5a2,Itgb1_itga11,Secreted Signaling,
1085,Col5a2,Itga11,Secreted Signaling,
