,from,to,type,pathway
117,Inhbb_inha,Acvr1b_acvr2b,Secreted Signaling,
118,Mstn,Acvr1b_acvr2b,Secreted Signaling,
119,Mstn,Acvr1b,Secreted Signaling,
120,Mstn,Acvr2b,Secreted Signaling,
121,Gdf11,Acvr1b_acvr2b,Secreted Signaling,
122,Gdf11,Acvr2b,Secreted Signaling,
123,Gdf1,Acvr1b_acvr2b,Secreted Signaling,
124,Gdf1,Acvr1b,Secreted Signaling,
125,Gdf1,Acvr2b,Secreted Signaling,
126,Gdf10,Acvr1b_acvr2b,Secreted Signaling,
127,Gdf10,Acvr1b,Secreted Signaling,
128,Gdf10,Acvr2b,Secreted Signaling,
129,Gdf3,Acvr1b_acvr2b,Secreted Signaling,
130,Gdf3,Acvr1b,Secreted Signaling,
131,Gdf3,Acvr2b,Secreted Signaling,
132,Inhba_inhbb,Acvr1c_acvr2a,Secreted Signaling,
133,Inhba_inhbb,Acvr1c,Secreted Signaling,
134,Inhba,Acvr1c_acvr2a,Secreted Signaling,
135,Inhba,Acvr1c,Secreted Signaling,
136,Inhbb,Acvr1c_acvr2a,Secreted Signaling,
137,Inhbb,Acvr1c,Secreted Signaling,
138,Inhba_inha,Acvr1c_acvr2a,Secreted Signaling,
139,Inhba_inha,Acvr1c,Secreted Signaling,
140,Inha,Acvr1c_acvr2a,Secreted Signaling,
141,Inha,Acvr1c,Secreted Signaling,
142,Inhbb_inha,Acvr1c_acvr2a,Secreted Signaling,
143,Inhbb_inha,Acvr1c,Secreted Signaling,
144,Inhba_inhbb,Acvr1c_acvr2b,Secreted Signaling,
145,Inhba,Acvr1c_acvr2b,Secreted Signaling,
146,Inhbb,Acvr1c_acvr2b,Secreted Signaling,
147,Inhba_inha,Acvr1c_acvr2b,Secreted Signaling,
148,Inha,Acvr1c_acvr2b,Secreted Signaling,
149,Inhbb_inha,Acvr1c_acvr2b,Secreted Signaling,
150,Adipoq,Adipor1_adipor2,Secreted Signaling,
151,Adipoq,Adipor1,Secreted Signaling,
152,Adipoq,Adipor2,Secreted Signaling,
153,Iapp,Calcr_ramp1,Secreted Signaling,
154,Iapp,Calcr,Secreted Signaling,
155,Iapp,Ramp1,Secreted Signaling,
156,Iapp,Calcr_ramp2,Secreted Signaling,
157,Iapp,Ramp2,Secreted Signaling,
158,Iapp,Calcr_ramp3,Secreted Signaling,
159,Iapp,Ramp3,Secreted Signaling,
160,Chat,Chrna2_chrnb3,Secreted Signaling,
161,Chat,Chrna2,Secreted Signaling,
162,Chat,Chrnb3,Secreted Signaling,
163,Chat,Chrna3_chrnb2_chrna5,Secreted Signaling,
164,Chat,Chrna3,Secreted Signaling,
165,Chat,Chrnb2,Secreted Signaling,
166,Chat,Chrna5,Secreted Signaling,
167,Chat,Chrna3_chrnb4_chrna5,Secreted Signaling,
168,Chat,Chrnb4,Secreted Signaling,
169,Chat,Chrna4_chrnb2,Secreted Signaling,
170,Chat,Chrna4,Secreted Signaling,
171,Chat,Chrna6_chrna4_chrnb3,Secreted Signaling,
172,Chat,Chrna6,Secreted Signaling,
173,Chat,Chrna6_chrnb3_chrnb4,Secreted Signaling,
174,Chat,Chrna1,Secreted Signaling,
175,Chat,Chrm2,Secreted Signaling,
176,Chat,Chrm4,Secreted Signaling,
177,Chat,Chrm5,Secreted Signaling,
178,Chat,Chrm1,Secreted Signaling,
179,Chat,Chrm3,Secreted Signaling,
180,Chat,Chrna7,Secreted Signaling,
181,Cyp11b1,Nr3c1,Secreted Signaling,
182,Cyp11b1,Nr3c2,Secreted Signaling,
183,Cyp17a1,Ar,Secreted Signaling,
