,from,to,pathway,database
7128,SERCA,Vha68-2,ppi,ppi
7129,CaBP1,CG1092,ppi,ppi
7130,Wdr82,CG18081,ppi,ppi
7131,dpa,Mcm6,ppi,ppi
7132,dpa,Mcm6,ppi,ppi
7133,dpa,Mcm6,ppi,ppi
7134,Cnx99A,CG33303,ppi,ppi
7135,CG2065,UQCR-C2,ppi,ppi
7136,Fkbp12,cib,ppi,ppi
7137,CG16884,CG4962,ppi,ppi
7138,Adh,CG5506,ppi,ppi
7139,Pglym78,CG8560,ppi,ppi
7140,Bet1,Ykt6,ppi,ppi
7141,Mcm2,Mcm5,ppi,ppi
7142,CG18787,CG18789,ppi,ppi
7143,Gdh,Nc73EF,ppi,ppi
7144,Fgop2,Slmap,ppi,ppi
7145,Fgop2,Slmap,ppi,ppi
7146,Fgop2,Slmap,ppi,ppi
7147,brm,MED8,ppi,ppi
7148,cathD,CG33303,ppi,ppi
7149,Khc-73,CG10887,ppi,ppi
7150,CG3008,CG2017,ppi,ppi
7151,Pli,CG34205,ppi,ppi
7152,ATPsynF,CG12170,ppi,ppi
7153,Rpt4,CG4729,ppi,ppi
7154,Gos28,Bet1,ppi,ppi
7155,Acon,TpnC41C,ppi,ppi
7156,Rpt4,GCS2beta,ppi,ppi
7157,Atpalpha,wal,ppi,ppi
7158,Ccs,SdhA,ppi,ppi
7159,Fkbp12,CG2852,ppi,ppi
7160,Mec2,jagn,ppi,ppi
7161,Rpt2,Past1,ppi,ppi
7162,Rga,Not3,ppi,ppi
7163,Rga,Not3,ppi,ppi
7164,Rga,Not3,ppi,ppi
7165,Rga,Not3,ppi,ppi
7166,spidey,CG33303,ppi,ppi
7167,ATPsynG,ATPsynD,ppi,ppi
7168,ATPsynG,ATPsynD,ppi,ppi
7169,EloB,Art8,ppi,ppi
7170,MED18,CG34159,ppi,ppi
7171,NC2beta,Atac1,ppi,ppi
7172,eIF3c,eIF3f1,ppi,ppi
7173,wal,Sec13,ppi,ppi
7174,scf,TER94,ppi,ppi
7175,Pp2A-29B,SERCA,ppi,ppi
7176,OstDelta,Spt-I,ppi,ppi
7177,regucalcin,CG10638,ppi,ppi
7178,Rab11,Mdh2,ppi,ppi
7179,betaCOP,Pp2A-29B,ppi,ppi
7180,CG2064,Karybeta3,ppi,ppi
7181,Larp4B,CG34159,ppi,ppi
7182,Dhx15,Tdrd3,ppi,ppi
7183,Prosalpha7,CG15717,ppi,ppi
7184,Hsc70-1,CG10887,ppi,ppi
7185,dup,geminin,ppi,ppi
7186,dup,geminin,ppi,ppi
7187,dup,geminin,ppi,ppi
7188,dup,geminin,ppi,ppi
7189,CG12012,CG11857,ppi,ppi
7190,Sod1,Trxr-1,ppi,ppi
7191,qkr58E-3,Lrpprc2,ppi,ppi
7192,porin,Sc2,ppi,ppi
7193,RhoGDI,CG8036,ppi,ppi
7194,CG1371,OstDelta,ppi,ppi
7195,CG31198,CG32473,ppi,ppi
7196,Nlp,14-3-3epsilon,ppi,ppi
7197,Ntf-2,CG10638,ppi,ppi
7198,GstO3,CG6084,ppi,ppi
7199,fabp,Trx-2,ppi,ppi
7200,Sh3beta,CG6084,ppi,ppi
7201,Nlp,EndoGI,ppi,ppi
7202,CG15047,Ku80,ppi,ppi
7203,CHMP2B,shrb,ppi,ppi
7204,Uch,Inos,ppi,ppi
7205,Sod1,fabp,ppi,ppi
7206,Mec2,CG15098,ppi,ppi
7207,spidey,CG13220,ppi,ppi
7208,Pglym78,Rab11,ppi,ppi
7209,PCNA,cib,ppi,ppi
7210,awd,Chd64,ppi,ppi
7211,MED30,MED10,ppi,ppi
7212,scu,Chd64,ppi,ppi
7213,wdb,wrd,ppi,ppi
7214,awd,Uch,ppi,ppi
7215,awd,CG7054,ppi,ppi
7216,Surf4,ZnT63C,ppi,ppi
7217,Dgp-1,CG32344,ppi,ppi
7218,awd,CG5355,ppi,ppi
7219,Rcd1,Mocs2B,ppi,ppi
7220,awd,ERp60,ppi,ppi
7221,Ald,fln,ppi,ppi
7222,wal,Rpt1,ppi,ppi
7223,Prosalpha7,dUTPase,ppi,ppi
7224,CG3226,CG10638,ppi,ppi
7225,brm,Snr1,ppi,ppi
7226,brm,Snr1,ppi,ppi
7227,brm,Snr1,ppi,ppi
7228,brm,Snr1,ppi,ppi
7229,brm,Snr1,ppi,ppi
7230,brm,Snr1,ppi,ppi
7231,brm,Snr1,ppi,ppi
7232,Ost48,Pp2A-29B,ppi,ppi
7233,Echs1,Nacalpha,ppi,ppi
7234,Act57B,betaTub85D,ppi,ppi
7235,CG5885,CG12262,ppi,ppi
7236,CG5355,fabp,ppi,ppi
7237,Rpt5,Prosalpha6,ppi,ppi
7238,awd,eEF1delta,ppi,ppi
7239,Sec13,CG12262,ppi,ppi
7240,up,icln,ppi,ppi
7241,tsr,HIP-R,ppi,ppi
7242,Chc,Mec2,ppi,ppi
7243,Act79B,CG7409,ppi,ppi
7244,regucalcin,ERp60,ppi,ppi
7245,Mec2,CG4729,ppi,ppi
7246,CG11885,Pomp,ppi,ppi
7247,Sc2,CG10425,ppi,ppi
7248,Df31,CG8993,ppi,ppi
7249,CG7139,CG15435,ppi,ppi
7250,CG5567,CG30281,ppi,ppi
7251,betaCOP,wal,ppi,ppi
7252,Kap-alpha3,CG2064,ppi,ppi
7253,Rab7,Mec2,ppi,ppi
7254,CG9947,CG1092,ppi,ppi
7255,Teh1,CG30344,ppi,ppi
7256,D12,Sgf29,ppi,ppi
7257,D12,Sgf29,ppi,ppi
7258,Rbbp5,Utx,ppi,ppi
7259,MED8,MED30,ppi,ppi
7260,CCT1,CCT6,ppi,ppi
7261,Mes4,Sgf29,ppi,ppi
7262,MED20,MED15,ppi,ppi
7263,AnxB10,14-3-3zeta,ppi,ppi
7264,l(1)G0020,Ns1,ppi,ppi
7265,porin,blw,ppi,ppi
7266,EndoGI,CG2862,ppi,ppi
7267,skd,MED15,ppi,ppi
7268,AnxB10,Calr,ppi,ppi
7269,p23,alpha-Spec,ppi,ppi
7270,MED15,CG34159,ppi,ppi
7271,I-2,sds22,ppi,ppi
7272,AnxB10,Stip1,ppi,ppi
7273,Fim,GstO3,ppi,ppi
7274,Mlc1,GstS1,ppi,ppi
7275,Rs1,CG2691,ppi,ppi
7276,AnxB10,scf,ppi,ppi
7277,eEF1delta,TER94,ppi,ppi
7278,ZnT63C,CG7668,ppi,ppi
7279,Bacc,Mdh2,ppi,ppi
7280,nxf2,Slmap,ppi,ppi
7281,CG10638,Jupiter,ppi,ppi
7282,boca,MED27,ppi,ppi
7283,Eno,dUTPase,ppi,ppi
7284,CG2862,Chd64,ppi,ppi
7285,Arf102F,GCS2beta,ppi,ppi
7286,Gdi,Akap200,ppi,ppi
7287,Vha14-1,Vha68-2,ppi,ppi
7288,spidey,CG2065,ppi,ppi
7289,Atg4a,CG10420,ppi,ppi
7290,Rpn7,Rpn1,ppi,ppi
7291,scf,CG2862,ppi,ppi
7292,ref(2)P,Prosalpha4,ppi,ppi
7293,CG10425,Gp93,ppi,ppi
7294,spidey,Mec2,ppi,ppi
7295,Ald,CG5506,ppi,ppi
7296,brm,MED11,ppi,ppi
7297,mor,MED15,ppi,ppi
7298,snama,Tet,ppi,ppi
7299,Su(Tpl),ear,ppi,ppi
7300,Cp1,Gp93,ppi,ppi
7301,Pgd,CG2852,ppi,ppi
7302,Rpt1,Cyp12d1-p,ppi,ppi
7303,Ldsdh1,CG10237,ppi,ppi
7304,Swip-1,Arpc2,ppi,ppi
7305,ref(2)P,Rpt1,ppi,ppi
7306,Vha100-2,Vha100-1,ppi,ppi
7307,MED16,MED11,ppi,ppi
7308,Fkbp12,CG14715,ppi,ppi
7309,Panx,cmet,ppi,ppi
7310,Surf4,CG13887,ppi,ppi
7311,MED20,MED7,ppi,ppi
7312,Rab6,spidey,ppi,ppi
7313,Dpy-30L1,Utx,ppi,ppi
7314,Moe,Prx2540-2,ppi,ppi
7315,mt:CoII,ATPsyngamma,ppi,ppi
7316,Psi,Larp4B,ppi,ppi
7317,GstS1,COX4,ppi,ppi
7318,betaCOP,CG2064,ppi,ppi
7319,Snr1,CG2017,ppi,ppi
7320,MED8,Ptip,ppi,ppi
7321,CG7878,larp,ppi,ppi
7322,up,CG7920,ppi,ppi
7323,MED23,Usp10,ppi,ppi
7324,CG17002,MED23,ppi,ppi
7325,ICA69,Teh1,ppi,ppi
7326,CG5447,CG14767,ppi,ppi
7327,fax,spidey,ppi,ppi
7328,Stip1,Tudor-SN,ppi,ppi
7329,Cdk8,Ptip,ppi,ppi
7330,ATPsynG,sun,ppi,ppi
7331,ATPsynG,sun,ppi,ppi
7332,RhoGDI,GstE3,ppi,ppi
7333,dod,fabp,ppi,ppi
7334,Uch,Trx-2,ppi,ppi
7335,Syx5,Gos28,ppi,ppi
7336,Vps60,HSPC300,ppi,ppi
7337,Arf79F,mge,ppi,ppi
7338,Snr1,MED14,ppi,ppi
7339,CG10103,HSPC300,ppi,ppi
7340,Hsc70-2,CG10887,ppi,ppi
7341,CG10418,SLIRP2,ppi,ppi
7342,PGRP-LE,RpS11,ppi,ppi
7343,CG32344,tum,ppi,ppi
7344,Rs1,nop5,ppi,ppi
7345,Eno,Trxr-1,ppi,ppi
7346,Trxr-1,CG2852,ppi,ppi
7347,Uch,capt,ppi,ppi
7348,Prm,Tm2,ppi,ppi
7349,Syx13,CG2023,ppi,ppi
7350,Su(dx),Nedd4,ppi,ppi
7351,Sc2,PMCA,ppi,ppi
7352,porin,spidey,ppi,ppi
7353,CG3740,CG3077,ppi,ppi
7354,gammaTub37C,Iris,ppi,ppi
7355,CG3793,Pcyt2,ppi,ppi
7356,ERp60,Sh3beta,ppi,ppi
7357,Snr1,MED17,ppi,ppi
7358,Atac2,ReepA,ppi,ppi
7359,Sh3beta,capt,ppi,ppi
7360,Es2,CG7675,ppi,ppi
7361,Mlc1,CG7409,ppi,ppi
7362,CG6340,Pcyt2,ppi,ppi
7363,Pi3K68D,Past1,ppi,ppi
7364,cpb,Arp3,ppi,ppi
7365,Cam,CG2736,ppi,ppi
7366,Rlip,AP-2sigma,ppi,ppi
7367,Gapdh1,CG10638,ppi,ppi
7368,Pdi,Df31,ppi,ppi
7369,RpLP0,Nacalpha,ppi,ppi
7370,Rpn8,Rpn5,ppi,ppi
7371,Klc,Prosbeta7,ppi,ppi
7372,qkr58E-3,Atx2,ppi,ppi
7373,MED4,Ptip,ppi,ppi
7374,Rae1,Trx-2,ppi,ppi
7375,MED18,MED15,ppi,ppi
7376,eIF3m,eIF3c,ppi,ppi
7377,Cyp1,CG42557,ppi,ppi
7378,Atpalpha,MRP,ppi,ppi
7379,Spindly,CG2064,ppi,ppi
7380,wal,Sc2,ppi,ppi
7381,Adh,Mlc2,ppi,ppi
7382,Rcd1,MBD-R2,ppi,ppi
7383,Rcd1,MBD-R2,ppi,ppi
7384,Rcd1,MBD-R2,ppi,ppi
7385,Rpt5,Pomp,ppi,ppi
7386,AnxB10,Inos,ppi,ppi
7387,awd,TER94,ppi,ppi
7388,ZnT63C,Karybeta3,ppi,ppi
7389,porin,CG10425,ppi,ppi
7390,cathD,Droj2,ppi,ppi
7391,Actn,Mdh2,ppi,ppi
7392,Pa1,MED14,ppi,ppi
7393,MRP,CG4729,ppi,ppi
7394,wal,Nfs1,ppi,ppi
7395,Syb,CG14767,ppi,ppi
7396,awd,Fkbp12,ppi,ppi
7397,CCT2,CCT7,ppi,ppi
7398,wal,ScsbetaG,ppi,ppi
7399,Rab2,fax,ppi,ppi
7400,Moe,Nlp,ppi,ppi
7401,Nlp,Akap200,ppi,ppi
7402,Inos,CG8888,ppi,ppi
7403,Act57B,Gip,ppi,ppi
7404,Atpalpha,Ost48,ppi,ppi
7405,Spindly,Sec61alpha,ppi,ppi
7406,Vha36-1,Vha14-1,ppi,ppi
7407,Pdi,GstO3,ppi,ppi
7408,RhoL,Gie,ppi,ppi
7409,Rpt1,Rpn3,ppi,ppi
7410,cpb,Arpc3A,ppi,ppi
7411,Treh,CG4603,ppi,ppi
7412,Mpcp2,Cyt-c1,ppi,ppi
7413,Gapdh1,regucalcin,ppi,ppi
7414,Art8,Arc1,ppi,ppi
7415,Sod1,CG4278,ppi,ppi
7416,CG1532,SdhA,ppi,ppi
7417,AnxB10,ERp60,ppi,ppi
7418,CG9372,Hexo2,ppi,ppi
7419,Atx2,AGO1,ppi,ppi
7420,MED11,Ptip,ppi,ppi
7421,sty,Shc,ppi,ppi
7422,ICA69,CG30344,ppi,ppi
7423,Hsp23,ref(2)P,ppi,ppi
7424,mor,CG17002,ppi,ppi
7425,spheroide,CG9581,ppi,ppi
7426,wal,CCT7,ppi,ppi
7427,Taf5,mtSSB,ppi,ppi
7428,brm,MED4,ppi,ppi
7429,Rab11,TER94,ppi,ppi
7430,Idgf4,Nplp2,ppi,ppi
7431,CCT1,CG33303,ppi,ppi
7432,Adh,Yp3,ppi,ppi
7433,Rpt2,Cyp12d1-p,ppi,ppi
7434,Pfdn6,mgr,ppi,ppi
7435,fabp,Mdh2,ppi,ppi
7436,igl,Tap42,ppi,ppi
7437,Syx18,Vti1a,ppi,ppi
7438,MED6,MED7,ppi,ppi
7439,CG5355,PHGPx,ppi,ppi
7440,CG7185,CG2017,ppi,ppi
7441,Mpcp2,CCT4,ppi,ppi
7442,Pglym78,apolpp,ppi,ppi
7443,CG6724,CG8545,ppi,ppi
7444,Pi3K68D,Art4,ppi,ppi
7445,hiro,nwk,ppi,ppi
7446,Syp,btz,ppi,ppi
7447,Cnx99A,UQCR-6.4,ppi,ppi
7448,CycB,Cks30A,ppi,ppi
7449,Ada3,Rcd1,ppi,ppi
7450,Cyp6a13,PSR,ppi,ppi
7451,GluProRS,SerRS,ppi,ppi
7452,N,Pngl,ppi,ppi
7453,MRP,UQCR-C2,ppi,ppi
7454,MED25,ebi,ppi,ppi
7455,Klc,Prosbeta5,ppi,ppi
7456,Act79B,Obp56d,ppi,ppi
7457,Akap200,regucalcin,ppi,ppi
7458,Gos28,Membrin,ppi,ppi
7459,Pglym78,CG10638,ppi,ppi
7460,boca,scf,ppi,ppi
7461,CCT6,CCT4,ppi,ppi
7462,CG10265,Chd64,ppi,ppi
7463,mor,MED23,ppi,ppi
7464,Prosalpha4,Prosalpha1,ppi,ppi
7465,l(1)10Bb,Prp8,ppi,ppi
7466,SerRS,Cyp12d1-p,ppi,ppi
7467,MED8,MED11,ppi,ppi
7468,GluProRS,Pp2A-29B,ppi,ppi
7469,prod,bocks,ppi,ppi
7470,MED14,MED30,ppi,ppi
7471,Tsf1,CG34205,ppi,ppi
7472,eIF1A,CG11777,ppi,ppi
7473,Inos,Spindly,ppi,ppi
7474,CG9253,CG8545,ppi,ppi
7475,CG9205,Sk2,ppi,ppi
7476,Adh,Fer2LCH,ppi,ppi
7477,Fer2LCH,CG31343,ppi,ppi
7478,Prosbeta3,Rpn1,ppi,ppi
7479,MED18,osa,ppi,ppi
7480,Lrpprc2,Upf1,ppi,ppi
7481,eEF1delta,Sh3beta,ppi,ppi
7482,Ldh,OstDelta,ppi,ppi
7483,Gpdh1,COX4,ppi,ppi
7484,Act5C,CG11807,ppi,ppi
7485,AnxB10,Ntf-2,ppi,ppi
7486,MED10,MED11,ppi,ppi
7487,CHMP2B,Flo2,ppi,ppi
7488,Adh,GstS1,ppi,ppi
7489,Mcm7,Gfat2,ppi,ppi
7490,Rpn2,CG12321,ppi,ppi
7491,Ubqn,RluA-2,ppi,ppi
7492,Got1,alpha-Est2,ppi,ppi
7493,HmgD,Calr,ppi,ppi
7494,l(1)G0156,ScsbetaA,ppi,ppi
7495,Lrpprc2,Syp,ppi,ppi
7496,Rb97D,Tet,ppi,ppi
7497,betaTub85D,Phb2,ppi,ppi
7498,r-l,Arc42,ppi,ppi
7499,Pgd,CG2862,ppi,ppi
7500,Moe,Prosbeta5,ppi,ppi
7501,hiro,Tap42,ppi,ppi
7502,Uch,GstE6,ppi,ppi
7503,CG3797,krz,ppi,ppi
7504,CG7203,CG16885,ppi,ppi
7505,CG3164,CG7668,ppi,ppi
7506,Mec2,Sec61alpha,ppi,ppi
7507,Fer1HCH,CG6766,ppi,ppi
7508,mge,CG33303,ppi,ppi
7509,Sf3b1,Sf3b6,ppi,ppi
7510,porin,ATPsyndelta,ppi,ppi
7511,rdgB,RanGAP,ppi,ppi
7512,Wdr82,CG18787,ppi,ppi
7513,CG14207,Mhc,ppi,ppi
7514,Pcyt2,Synd,ppi,ppi
7515,mor,ZAP3,ppi,ppi
7516,Calr,Trxr-1,ppi,ppi
7517,Prosbeta3,Rpn9,ppi,ppi
7518,TpnC41C,CG5177,ppi,ppi
7519,Syx5,Syx13,ppi,ppi
7520,Ski6,Rrp4,ppi,ppi
7521,eEF1gamma,p23,ppi,ppi
7522,blw,CG33303,ppi,ppi
7523,spidey,UQCR-6.4,ppi,ppi
7524,eIF3b,eIF3f1,ppi,ppi
7525,CG2064,Cyp12d1-p,ppi,ppi
7526,Mpcp2,Rab39,ppi,ppi
7527,Calr,Nacalpha,ppi,ppi
7528,Uch,CG8036,ppi,ppi
7529,eIF3h,eIF3m,ppi,ppi
7530,Rab7,CG33303,ppi,ppi
7531,1-Sep,5-Sep,ppi,ppi
7532,Prm,Mhc,ppi,ppi
7533,Mec2,CG7668,ppi,ppi
7534,Droj2,Gp93,ppi,ppi
7535,Mlc1,CG14207,ppi,ppi
7536,Cnx99A,CG2918,ppi,ppi
7537,Cdk8,MED6,ppi,ppi
7538,Rab7,CG2064,ppi,ppi
7539,msn,Srp72,ppi,ppi
7540,Arf79F,Gp93,ppi,ppi
7541,GluProRS,Cyp12d1-p,ppi,ppi
7542,Lsp2,CG31343,ppi,ppi
7543,Ip259,CG31694,ppi,ppi
7544,CG2852,CG6084,ppi,ppi
7545,Hsp83,blw,ppi,ppi
7546,Ldh,Sec13,ppi,ppi
7547,Ldh,CG2064,ppi,ppi
7548,Rpt6,Prosalpha1,ppi,ppi
7549,Adh,Scp1,ppi,ppi
7550,ND-75,ND-PDSW,ppi,ppi
7551,Ldh,Rap1,ppi,ppi
7552,Mpcp2,CG3008,ppi,ppi
7553,CG5854,Cyp12d1-p,ppi,ppi
7554,CG8654,Lst8,ppi,ppi
7555,RfC3,RfC4,ppi,ppi
7556,RfC3,RfC4,ppi,ppi
7557,Hsc70Cb,CG2862,ppi,ppi
7558,betaCOP,l(1)G0156,ppi,ppi
7559,Rab6,CG33303,ppi,ppi
7560,Fkbp14,Trxr-1,ppi,ppi
7561,Fkbp12,Pdi,ppi,ppi
7562,Tm2,Nc73EF,ppi,ppi
7563,Eno,Trx-2,ppi,ppi
7564,CG3226,Mdh2,ppi,ppi
7565,CCT6,Gfat2,ppi,ppi
7566,CG2064,CG5854,ppi,ppi
7567,ix,MED17,ppi,ppi
7568,Sod1,CG8993,ppi,ppi
7569,boca,CG34159,ppi,ppi
7570,Gdh,kdn,ppi,ppi
7571,Cnx99A,OstDelta,ppi,ppi
7572,CG3687,CG6013,ppi,ppi
7573,Hsp83,Gp93,ppi,ppi
7574,I-2,Pp1-Y1,ppi,ppi
7575,Ald,Fer2LCH,ppi,ppi
7576,RpA-70,CG3165,ppi,ppi
7577,ctp,insv,ppi,ppi
7578,MED6,CG34159,ppi,ppi
7579,Pi3K68D,CG12262,ppi,ppi
7580,PCNA,Fkbp12,ppi,ppi
7581,ATPsyngamma,Rpt1,ppi,ppi
7582,PHGPx,CG14715,ppi,ppi
7583,chic,capt,ppi,ppi
7584,chic,capt,ppi,ppi
7585,PHGPx,Tctp,ppi,ppi
7586,Eno,Fkbp12,ppi,ppi
7587,brm,osa,ppi,ppi
7588,brm,osa,ppi,ppi
7589,brm,osa,ppi,ppi
7590,Gpdh1,CG14207,ppi,ppi
7591,Arf79F,OstDelta,ppi,ppi
7592,HmgD,cib,ppi,ppi
7593,Ranbp9,Gfat2,ppi,ppi
7594,Membrin,Vti1a,ppi,ppi
7595,Cdk8,CG17002,ppi,ppi
7596,cpa,didum,ppi,ppi
7597,PCB,ScsbetaG,ppi,ppi
7598,CG11596,CG5044,ppi,ppi
7599,Df31,CG7049,ppi,ppi
7600,CG7203,CG34205,ppi,ppi
7601,Pcyt2,CG1635,ppi,ppi
7602,CG4598,CG8036,ppi,ppi
7603,chico,Vps60,ppi,ppi
7604,alphaTub84B,h-cup,ppi,ppi
7605,Su(Tpl),Ice1,ppi,ppi
7606,snRNP-U1-70K,CG7971,ppi,ppi
7607,Ostgamma,CG10425,ppi,ppi
7608,CCT3,Droj2,ppi,ppi
7609,CG2065,CG2064,ppi,ppi
7610,Hsp83,Chd64,ppi,ppi
7611,CG4729,Sec61alpha,ppi,ppi
7612,Scamp,Karybeta3,ppi,ppi
7613,Nfs1,CCT4,ppi,ppi
7614,TrpRS,ScsbetaG,ppi,ppi
7615,Rab11,RpS15Ab,ppi,ppi
7616,chic,Uch,ppi,ppi
7617,Hel25E,Vha68-2,ppi,ppi
7618,Eno,Pgk,ppi,ppi
7619,Tapdelta,Sec61alpha,ppi,ppi
7620,DCTN1-p150,LRR,ppi,ppi
7621,Prosalpha6,Prosalpha1,ppi,ppi
7622,Chd64,fabp,ppi,ppi
7623,Lrpprc2,Sf3b3,ppi,ppi
7624,RhoGDI,capt,ppi,ppi
7625,EndoGI,CG10638,ppi,ppi
7626,Akap200,PHGPx,ppi,ppi
7627,CCT6,Cyp12d1-p,ppi,ppi
7628,snRNP-U1-70K,CG6218,ppi,ppi
7629,Pglym78,regucalcin,ppi,ppi
7630,ox,SERCA,ppi,ppi
7631,Mpcp2,Sec61alpha,ppi,ppi
7632,ix,MED4,ppi,ppi
7633,Ald,apolpp,ppi,ppi
7634,porin,Pdi,ppi,ppi
7635,CG10265,CG7668,ppi,ppi
7636,Su(Tpl),lilli,ppi,ppi
7637,wal,CCT6,ppi,ppi
7638,brm,osa,ppi,ppi
7639,brm,osa,ppi,ppi
7640,brm,osa,ppi,ppi
7641,Cp1,Gfat2,ppi,ppi
7642,Eb1,Mdh2,ppi,ppi
7643,CG7423,CG5157,ppi,ppi
7644,chic,fabp,ppi,ppi
7645,RPA2,Ku80,ppi,ppi
7646,Nc73EF,Mpcp1,ppi,ppi
7647,ytr,CG4119,ppi,ppi
7648,cib,CG6084,ppi,ppi
7649,eEF1delta,CG5174,ppi,ppi
7650,CG10077,Atx2,ppi,ppi
7651,CCT6,ScsbetaA,ppi,ppi
7652,Mlc2,TpnC41C,ppi,ppi
7653,HDAC1,CoRest,ppi,ppi
7654,Gapdh1,betaTub85D,ppi,ppi
7655,ATPsyngamma,Gp93,ppi,ppi
7656,Gnf1,RfC4,ppi,ppi
7657,CG11857,CG31729,ppi,ppi
7658,Hsp26,Hsp70Aa,ppi,ppi
7659,Gpdh1,Yp3,ppi,ppi
7660,fln,Acon,ppi,ppi
7661,Fkbp12,Sh3beta,ppi,ppi
7662,fax,regucalcin,ppi,ppi
7663,regucalcin,Rae1,ppi,ppi
7664,Larp4B,MED4,ppi,ppi
7665,Nlp,CG8036,ppi,ppi
7666,Fkbp14,CG2767,ppi,ppi
7667,CG34159,ebi,ppi,ppi
7668,CG2852,PHGPx,ppi,ppi
7669,Ald,ATPsynCF6,ppi,ppi
7670,woc,ana2,ppi,ppi
7671,Chc,Nup358,ppi,ppi
7672,Tm2,ND-18,ppi,ppi
7673,Lam,RpA-70,ppi,ppi
7674,AGO3,vret,ppi,ppi
7675,Sc2,Pp2A-29B,ppi,ppi
7676,Mec2,ZnT63C,ppi,ppi
7677,Faa,CG8475,ppi,ppi
7678,CG17002,MED14,ppi,ppi
7679,Art8,CG1129,ppi,ppi
7680,scu,PHGPx,ppi,ppi
7681,Mlc-c,Pglym87,ppi,ppi
7682,brm,enc,ppi,ppi
7683,Glt,vkg,ppi,ppi
7684,GluProRS,AIMP1,ppi,ppi
7685,DNAlig4,Ku80,ppi,ppi
7686,CG17260,CG1635,ppi,ppi
7687,ND-75,hiro,ppi,ppi
7688,Prosalpha4,Fkbp14,ppi,ppi
7689,MED30,Larp4B,ppi,ppi
7690,Obp19d,EbpIII,ppi,ppi
7691,Surf4,Mec2,ppi,ppi
7692,AnxB10,awd,ppi,ppi
7693,Arp2,didum,ppi,ppi
7694,Pglym78,Sh3beta,ppi,ppi
7695,ATPsynbeta,HisRS,ppi,ppi
7696,CG12262,Cyp12d1-p,ppi,ppi
7697,l(1)G0156,PCB,ppi,ppi
7698,Phb2,CG5174,ppi,ppi
7699,Cat,CG16826,ppi,ppi
7700,CG2070,bbc,ppi,ppi
7701,ATPsynbeta,ATPsyndelta,ppi,ppi
7702,Dlc90F,JMJD7,ppi,ppi
7703,Fer1HCH,Scp1,ppi,ppi
7704,Hmgs,Tap42,ppi,ppi
7705,Hsp26,CG14613,ppi,ppi
7706,Rpn6,Prosalpha6,ppi,ppi
7707,Act88F,ND-18,ppi,ppi
7708,Prosalpha7,Rpn7,ppi,ppi
7709,beta'COP,alphaCOP,ppi,ppi
7710,CG2852,Prosalpha1,ppi,ppi
7711,Calr,yip2,ppi,ppi
7712,GluProRS,ScsbetaG,ppi,ppi
7713,Ost48,ATPsynF,ppi,ppi
7714,l(1)10Bb,CG9667,ppi,ppi
7715,dsh,MED30,ppi,ppi
7716,CG1234,CG31694,ppi,ppi
7717,CG16885,CG32473,ppi,ppi
7718,MED4,MED10,ppi,ppi
7719,GlyP,CG32473,ppi,ppi
7720,Syx1A,Gos28,ppi,ppi
7721,Prm,kdn,ppi,ppi
7722,gammaTub37C,PhKgamma,ppi,ppi
7723,Ald,AnxB10,ppi,ppi
7724,Tm1,Swip-1,ppi,ppi
7725,Gdh,Mlc1,ppi,ppi
7726,Ald,Scp1,ppi,ppi
7727,Adh,Tsf1,ppi,ppi
7728,brm,MED18,ppi,ppi
7729,Tm1,AANAT1,ppi,ppi
7730,MED6,Pa1,ppi,ppi
7731,Act88F,CG34172,ppi,ppi
7732,Snap29,Membrin,ppi,ppi
7733,Syb,Gos28,ppi,ppi
7734,mRpL30,mRpL23,ppi,ppi
7735,Got1,CG1218,ppi,ppi
7736,ArgRS,MetRS,ppi,ppi
7737,Fkbp14,PHGPx,ppi,ppi
7738,PSR,Lst8,ppi,ppi
7739,Df31,CG4598,ppi,ppi
7740,PhKgamma,CG11448,ppi,ppi
7741,AspRS,GluProRS,ppi,ppi
7742,sbr,Nxt1,ppi,ppi
7743,sbr,Nxt1,ppi,ppi
7744,scu,cib,ppi,ppi
7745,Argk,ATPsynCF6,ppi,ppi
7746,PCB,UQCR-C2,ppi,ppi
7747,sty,CG3164,ppi,ppi
7748,Gdh,Mpcp1,ppi,ppi
7749,CG3226,CG2862,ppi,ppi
7750,Gpdh1,GlyP,ppi,ppi
7751,CG17002,CG7185,ppi,ppi
7752,Rrp4,Rrp46,ppi,ppi
7753,CG2150,CG7203,ppi,ppi
7754,regucalcin,CG11267,ppi,ppi
7755,eIF3g1,eIF3c,ppi,ppi
7756,Moe,Prosalpha1,ppi,ppi
7757,Hel25E,CCT6,ppi,ppi
7758,Eno,Gpdh1,ppi,ppi
7759,CG7920,kdn,ppi,ppi
7760,Ald,CG2852,ppi,ppi
7761,eEF1delta,Nacalpha,ppi,ppi
7762,Yp2,CG32473,ppi,ppi
7763,CG5355,CG10638,ppi,ppi
7764,GluProRS,Kap-alpha3,ppi,ppi
7765,Rpn12,Rpn13,ppi,ppi
7766,GCS2beta,SERCA,ppi,ppi
7767,Su(P),EndoG,ppi,ppi
7768,brm,MED6,ppi,ppi
7769,pr,grsm,ppi,ppi
7770,CG7185,CG34159,ppi,ppi
7771,CG1129,CG18787,ppi,ppi
7772,CG11885,CG12321,ppi,ppi
7773,Hmgs,CG10585,ppi,ppi
7774,scu,EndoGI,ppi,ppi
7775,Got1,Treh,ppi,ppi
7776,Atpalpha,Vha68-2,ppi,ppi
