tissueType,cellName,geneSymbolmore1,geneSymbolmore2,shortName
Immune system,Neutrophils,"CD66b,CD11b,CD15,CD16,CXCL8,FCGR3B,MNDA,CXCR2,MPO,ELANE,PRTN3,MPO,AZU1,LYZ,S100A8,S100A9,PI3,CHI3L1,ANXA3,CXCL1,TGM3,BTNL3,C4BPA,MMP9,CD24,BPI,LTF,GCA,Camp,Ngp,Chil3,Ltf",,Neutrophils
Immune system,Basophils,"CD63,CD203c,CD123,CLC,MS4A3,TCN1,CPA3,HDC,GATA2,MS4A2,IL4,GCSAML,GATA2,TPSAB1",,Basophils
Immune system,Mast cells,"CD117,CD203c,CD25,KIT,SLC18A2,CD33,CD32,FCER1A,TPSD1,HPGDS",,Mast
Immune system,Classical Monocytes,"CD14,CD11b,CD68,HLA-DR,CD33,CD11c,CD123,CD15,CD3D,CD3E,CD3G,CD3Z,CD66b,VCAN,S100A12,CXCL8,S100A8,S100A9,LYZ,CST3,Elane1","CD56,CD16",C_Monocytes
Immune system,Non-classical monocytes,"CD14,CD16,CD11b,CD68,HLA-DR,CD33,CD11c,CD123,CD15,CD3D,CD3E,CD3G,CD3Z,CD66b,FCGR3A,CDKN1C,LST1,FCER1G,MS4A7,RHOC,S100A8,S100A9,CST3,C1QC,Elane1",CD56,N_Monocytes
Immune system,Intermediate monocytes,"CD14,CD16,CD11b,CD68,HLA-DR,CD33,CD11c,CD123,CD15,CD3D,CD3E,CD3G,CD3Z,CD66b,IL1B,S100A8,S100A9,CST3,C1QC,Elane1",CD56,I_Monocytes
Immune system,Macrophages,"CD68,CD163,CD14,CD11b,CD206,CD80,CD86,CD16,CD64,CCL18,CD115,CD11c,CD32,HLA-DR,MRC1,MSR1,GCA,Pf4",CD56,M?
Immune system,Megakaryocyte,"CD61,CD41,CD42b,CD41a,CD42a,CXCR4,CD110",,MKs
Immune system,Endothelial,"PECAM1,CD34,KDR,CDH5,PROM1,PDPN,TEK,FLT1,VCAM1,PTPRC,VWF,ENG,MCAM,ICAM1,FLT4,SELE",,ECs
Immune system,Erythroid-like and erythroid precursor cells,"PTPRC,GYPA,RUVBL1,TFRC,FOLR1,CD36,ITGA4,HBB,CD235a,HBD,CA1",,Es
Immune system,HSC/MPP cells,"CD105,CD34,CD44,CD73,CD45,CD29,STRO-1,NANOG,SOX2,CD133,CD166,CD146,CD31,Nestin,OCT4,CD117,KDR,CXCL8,AVP,CRHBP,ALDH1A1,CD49,CD90,CD69,CD24,CD38,CD45RA,Keratin-19,ASPM,CD10,CD123,ABCG2,CD135,CD49f,EpCAM,Keratin-7,SCA-1,CD14,CD150,CD271,HLA-DR","PTPRC,CD38",HSC/MPP
Immune system,Progenitor cells,"CD105,CD34,CD44,CD73,CD45,CD29,STRO-1,NANOG,SOX2,CD133,CD166,CD146,CD31,Nestin,OCT4,CD117,KDR,AVP,CRHBP,ALDH1A1,STMN1,CD38,PTPRC,CD135",,PCs
Immune system,Myeloid Dendritic cells,"ITGAX,CD83,CD1C,NRP1,CLEC4C,CD86,IL3RA,CD80,CD1A,ITGAX,CD40,HLA-DQA1,CD11c,HLA-DR,HLA-DPB1,HLA-DPA1,CLEC10A,CST3,GPR31,ODF3L1,PRB2,CD207,ARSE,CLEC141,MRC,EBLN1,CRIP3",,mDCs
Immune system,Plasmacytoid Dendritic cells,"ITGAX,CD83,CD1C,NRP1,CLEC4C,CD86,IL3RA,CD80,CD1A,ITGAX,CD40,HLA-DQA1,CD11c,HLA-DR,HLA-DPB1,HLA-DPA1,CLEC10A,CST3,TPM2,LRRC26,ASIP,GPM6B,KRT5,NTM,SCT,SHD,KCNA5,SCARA5,EPHA2,MYMX",,pDCs
Immune system,Granulocytes,"CD203c,CD15,CD11b,CD63,CD66b,CD123,CD16,CD33,CD117,CD45,Fc-epsilon RI-alpha,CD125,CD13,CD14,CD25,CD44,CD69,CD9,HLA-DR,CCR3,CD116,CD11c,CD193,CD24,CD32,CD43,CXCL8,FCGR3B,MNDA,SIGLEC8,AZU1,MPO,CTSG,LYZ",,Gs
Immune system,ISG expressing immune cells,"IFIT1,IFIT2,IFIT3,IFIT5,ISG15,CCL3,CCL4,CCL3L3,RSAD2,OASL,CXCL10,IFI15,ISG20",,ISG+
Pancreas,Acinar cells,"CTRB1,KLK1,RBPJL,PTF1A,CELA3A,PRSS1,SPINK1,ZG16,CEL,CELA2A,CPB1,CELA1,RNASE1,AMY2B,CPA2,CPA1,CELA3B,PNLIP,CTRB2,PLA2G1B,PRSS2,CLPS,REG1A,SYCN,PNLIPRP1,CTRC,REG3A,PRSS3,REG1B,CFB,GDF15,MUC1,C15orf48,AKR1C3,OLFM4,GSTA1,LGALS2,PDZK1IP1,RARRES2,CXCL17,GSTA2,ANPEP,LYZ,ANGPTL4,ALDOB",,Acinar
Pancreas,Alpha cells,"GCG,TTR,ARX,POU3F4,NKX2-2,RESP18,PYY,PCSK2,SLC38A5,TM4SF4,CRYBA2,NKX6-1,KCNK16,PCSK1,PRRG2,IRX2,ALDH1A1,PEMT,CHGA,SMIM24,F10,SCGN,SLC30A8,SH3GL2,SCGB2A1,FAP,DPP4,MAFB,PAX6,NEUROD1,PLCE1,GC,KLHL41,FEV,PTGER3,RFX6,SMARCA1,PGR,LDB2,IRX1,UCP2",,Alpha
Pancreas,Beta cells,"FXYD2,PDX1,INS,GCGR,JPH3,CD40,HAMP,EZH1,NTRK1,SLC2A2,NKX6-2,NPY,RIMS1,MAFA,EFNA5,LMX1A,NKX2-2,NKX6-1,PAX4,IAPP,PCSK2,G6PC2,SLC30A8,PCSK1,GJD2,SCGN,IGF2,SYT13,FFAR2,NPTX2,PFKFB2,EDARADD,HOPX,SH3GL2,ADCYAP1,SCGB2A1,CASR,MAFB,PAX6,NEUROD1,ISL1,TGFBR3,SMAD9,SIX3,SIX2,BMP5,PIR",,Beta
Pancreas,Delta cells,"SST,PDX1,FFAR4,PCSK9,RBP4,PAX4,RESP18,HHEX,ISL1,SCGN,KCNK16,IAPP,FXYD2,NPTX2,GPC5-AS1,UCP2,LEPR,BAIAP3,MS4A8,CASR,BCHE,GABRB3,UNC5B,EDN3,PRG4,FRZB,PCSK1,GABRG2,POU3F1,BHLHE41,EHF,LCORL,ETV1",,Delta
Pancreas,Ductal cells,"CFTR,HNF1B,KRT20,MUC1,ONECUT1,AMBP,HHEX,ANXA4,SPP1,PDX1,CFB,GDF15,AKR1C3,MMP7,DEFB1,SERPING1,TSPAN8,CLDN10,SLPI,SERPINA5,PIGR,CLDN1,LGALS4,PERP,PDLIM3,WFDC2,AQP1,ALDH1A3,KRT19,TFF1,TFF2",,Ductal
Pancreas,Endothelial cells,"PECAM1,CD34,MCAM,CDH5,VWF,ENG,KDR,PDPN,SELE,A2M",,ECs
Pancreas,Epsilon cells,"GHRL,ANXA13,PHGR1,BMP4,HMGCS2,TM4SF5,OLFML3,ASGR1,COX6A2,NPY1R,SLC7A9,BHMT,OPRK1,PTGER4,ITGA4,EYA4,XYLB,ELOVL2,AFF3,CORIN,MYO1A,HRH2,SLC6A16,PCSK6,ADAMTS6,COL22A1,FAM124A,COL12A1,CD109,THSD4,ARX",,Epsilon
Pancreas,Gamma (PP) cells,"PPY,SCGN,FXYD2,SCGB2A1,GPC5-AS1,CMTM8,ARX,ETV1,PXK,SERTM1,SLITRK6,SEMA3E,APOBEC2,ABCC9,NEUROD1,PAX6,ISL1,CARTPT,THSD7A,AQP3,ENTPD2,PTGFR,CHN2,EGR3,LMO3,MEIS1,ZNF503",,Gamma
Pancreas,Immune system cells,"MS4A1,CD19,CD4,CD8A,CD7,CTLA4,CD27,CCR7,CYTIP,IGHD,CD38,IL2RA,ISG20,SELL,IL7R,FOXP3,IGKC,IGLC3,IGLC2,CD79A,CD68,CD163,CD14,ITGAM,MRC1,MS4A7,CD3D,CD3E,CD3G",,Immune
Pancreas,Mast cells,"KIT,ENPP3,IL2RA,ISG20,SLC18A2,CD9,FCER1A,TPSB2,FCER2",,Mast
Pancreas,Mesenchymal cells,"ITGB1,NT5E,THY1,ENG,KIT,ALCAM",,MCs
Pancreas,Pancreatic progenitor cells,"ONECUT1,PDX1,PTF1A,CXCR4,ISL1,NKX2-2,EPAS1,ARX,NEUROG3,SOX9,RPL23A,CTNNB1,YAP1,RGS16,MFNG",,PPCs
Pancreas,Pancreatic stellate cells,"TIMP1,RGS5,SPON2,GEM,DYNLT1,PDGFRB,KRT10,CYGB,CCN2,MMP14,NDUFA4L2,PDGFRA,INHBA,TGFB1",,PSCs
Pancreas,Peri-islet Schwann cells,"MPZ,EGFL8,GFRA1,OLFML2A,GULP1,SLITRK6,VGLL3,GFRA3,INSC,SLITRK2,FIGN,LRRTM1,SEMA3B,NGFR,PNLIPRP1,GFRA2",,Islet Schwann
Liver,Cholangiocytes,"SSTR2,SLC4A2,KRT7,KCNN2,ITGB4,GGT6,CFTR,AQP4,AQP1,PIGR,GGT1,JAG1,GPBAR1,GGT7,KRT19,ONECUT2,ALPL,HNF1B,ALB,AGR2,TFF3,TFF1,SOX9,EPCAM,CLDN4,MMP7,TFF2,SCGB3A1,FXYD2,DEFB1,CD24,LCN2,CXCL1,CXCL6,LGALS2,TACSTD2,ELF3,SPP1,MUC5B,LGALS4,KRT8",,Cholangiocytes
Liver,Endothelial cell,"FLT1,APPBP2,ARGLU1,ATP10D,BNIP1,BST2,BTNL9,C11orf96,CCDC85B,CCL14,CD4,CDC73,CDKL1,CHD4,CLEC1B,CLEC2B,CLEC4G,CLEC4M,CRBN,CRHBP,CTSL,DCLRE1C,DIPK2A,DLC1,DLG1,DLK1,DNASE1L3,DOCK1,DUSP5,EFNB2,ENG,F8,FCN2,FCN3,FILIP1,FOSB,FXYD6,GBP4,GGA2,GNG11,HES1,HYI,IL1R1,IL33,KDR,KIF1B,KLHL28,LDB2,MCAM,MCM3AP,MEF2C,MFN1,MGAT5,MPZL3,MRC1,OIT3,PIK3C2A,PPWD1,PTPRC,RASGEF1B,RASGRP3,RELN,RIN2,SECISBP2L,STAB1,STRN3,TCF12,TEX264,TFRC,TRAPPC11,TSPAN7,USP48,VWF,ZNF286B,STAB2,CD34,PECAM1",,Endothelial
Liver,Hematopoietic cell,"CD34,PTPRC",,HCs
Liver,Hepatic stellate cells,"CYGB,PPARG,PDGFRA,RGS5,PPARA,FOXF1,ALB,NR1H4,CCN2,SEMA7A,WT1,FGF10,GFAP,NGFR,VEGFA,ACTA2,MYB,DES,FAP,SLC8A1,RELN,SYP,VCL,TIMP1,COL1A1,TAGLN,COL1A2,COL3A1,SPARC,RBP1,DCN,MYL9,TPM2,MEG3,BGN,IGFBP7,IGFBP3,CCN1,OLFML3,IGFBP6,CCL2,COLEC11,HGF",,HSCs
Liver,Hepatoblasts,"AFP,ALB,CEBPA,KRT14,DLK1,CDH1,FOXM1,GGT1,HNF4A,PROX1,MAP2K4,SMAD5,KRT18,KRT8,HNF1B,HHEX,MET",,Hepatoblasts
Liver,Hepatocytes,"AFP,HNF4A,KRT8,ALB,KRT18,FOSL1,EPPK1,UCP2,GCK,LRP5,SLC10A1,NOS2,ATP7B,GJB2,FGFR4,PROX1,CRP,SLC2A2,TFR2,KIF13B,LIPC,VDR,ASGR1,ARG1,G6PC,OTC,SERPINA1,ZHX2,HHEX,FOXA3,FOXA2,FOXA1,CYP2E1,CYP1A2,CEBPA,CDH1,GPC3,AHR,CPS1,GLS2,PCK1,TAT,WT1,PRRG4,SULT1A1,APOH,CTNNB1,ABCC3,FGB,AQP3,PLSCR1,FGA,APOB,ANG,ANXA13,SAT2,SFRP5,A1CF,APOA1,BNIP3,FGL1,PAH,SERPINA6,APOA2,AZGP1,FGG,APOC3,DEFB1,TM4SF4,GC,AMBP,ORM1,TTR,HAL,ASS1,SCD,HMGCS1,ACSS2,TM7SF2,SEC16B,SLBP,RND3,BCHE,GHR,ALDH6A1,MASP2,AKR1C1,HAMP,GLUL,ACLY,ASL,TMEM97,CP,SLPI,ACAT2,TM4SF5,MSMO1,LEPR,RCAN1,AR,RPP25L,HSD11B1,APOM,TKFC,G0S2,PON3,C1orf53,TTC36,FST,MCC,AQP9,GSTA2,NNT,SAA4,MRPS18C,OCIAD1,APOA5,ENTPD5,C4B,EID2,TP53INP2,ATIC,SERPINH1,SAMD5,GRB14,CD3G,RHOB,EPB41L4B,GPAT4,SPTBN1,SDC2,PHLDA1,WTAP,ACADM",,Hepatocytes
Liver,Immune system cells,"CD19,MS4A1,IL2RA,PTPRC,CD4,CD8A,CD3D,CD3E,CD3G,CD11c,CD14,CD16,CD56,CD16,CD42b,CD7,CD8,IgD,CD38,CD24,CD20,CD14,CD16,HLA-DR,CD11b,CD11c,CD123,CD15,CD33,CD66b,CD38,CD27,CD94,CD45",,Immune
Liver,Kupffer cells,"CD14,CD68,TNF,LYZ,MPO,VSIG4,PROK2,STARD5,MSR1,PPARA,TREM1,SLC11A1,MMP13,VDR,CHIT1,OSM,PPARD,CLEC4F,ADGRE1,IL1B,SLC40A1,G6PD,TIMD4,MNDA,SLC15A3,DNASE1L3,MARCO,HFE,CD38,CD163,CCR5,CLEC1B,CLEC4G,GPIHBP1,FOLR2,PLTP,FTL,IRF7,SPIC,CSF1R,C1QC,C1QA,C1QB,CLEC4E",,Kupffer
Liver,Liver progenitor cell,"KRT7,KRT19",,Progenitor
Liver,Mast cells,"KIT,ENPP3,IL2RA,ISG20,SLC18A2,CD9,FCER1A,TPSB2,FCER2",,Mast
Liver,Mesenchymal stem cell,"CD44,ENG,NT5E,ITGB1,THY1",,Mesenchymal stem cell
Liver,Monocytes,"FCGR3A,FCGR3B,CD14,Elane1",,Monocytes
Eye,Muller cells,"Apoe,Glul,Rlbp1,Abca8a,Vim,Aldh1a1,RLBP1,GLUL,PAX6,CA8,EDN2,KCNJ2,PRSS56,RGR,ApoE,Aqp4",,Muller
Eye,Astrocytes,"PRDX6,SLC1a3,PAX2,Rlbp1,GFAP,S100B",,Astrocytes
Eye,Retinal ganglion cells,"BMP4,GRIA4,GRM3,KCNJ2,MED1,NMT,POU6F2,ZIC2,SLC17a6,Pax6,THY1,Nefl,Pou4f2,SNCG,NRN1,Cerkl ",,RGCs
Eye,Retinal progenitor cells,"PAX6,CALB2,SIX6,RHO,SIX3,NEFH,LGR5,SAG,RAX,NOTCH1,HES1,MSI1,SOX9,KIT,PDGFRA,Og9x,Sfrp2,Fgf15",,RPCs
Eye,Rod bipolar cells,"PRKCA,PCP4,RCVRN,SLC1A2,Car8,Sebox,Vsx2,Otx2,GRM3,KCNA4,KCNMA1,RORB,Cabp5,Og9x,Vstm2b, Casp7, Rpa1,GABRA1,LHX4",,RBCs
Eye,Cone bipolar cells,"PCP4,RCVRN,SLC1A2,Car8,Scgn,Vsx2,Otx2,MIP,GNAS,ISL1,SLC1A7,GJD2,GNB3,GRIA4,TJP2,LRIT2,Cabp5,Scgn,Vsx1,GABRA1,LHX4,LHX3",,CBCs
Eye,GABAergic amacrine cells,"Pax6,Tfap2a,Gad2,Fut4,Calb2,Pvalb,Pcp4,Vip,Thy1,STX1A,MIP, GNAS, ISL1,Gad1,ZEB2,TJP2,SEMA3D,POU6F2,KCNMA1,KCNA4,GRM3,GJD2,FRMPD2,Prox1,Nr4a2,Ngn2,C1ql2,Reln",,GABAergic ACs
Eye,Rod photoreceptor cells,"Rho,Pdc,NRL,ROM1,CRX,ARR3,CABP4,CACNA1D,DYNLRB2,EDN2,FRMPD2,GJD2,KCNQ5,KCNA4,LRIT1,LRIT2,MAF,MED1,RORB,RP1L1,TSPAN10,TTC8,Gcap2,Samd7 ,Cerkl ,SAMD11,SLC24A1,RP1,PDE6B",,Rod
Eye,Cone photoreceptor cells,"Arr3,Opn1sw,NRL,ROM1,CRX,ARR3,OPN1LW,OPN1MW,CABP4,CACNA1D,EDN2,GJD2,GNB3,KCNQ5,LRIT1,MED1,RP1L1,THRB,TSPAN10,TTC8,Opmw,SLC24A1,RP1,PDE6B",,Cone
Eye,Microglial cells,"P2RY12,ITGAM,CD40,PTPRC,CD68,AIF1,CX3CR1,TMEM119,ADGRE1,C1QA,NOS2,TNF,ISYNA1,CCL4,ADORA3,ADRB2,BHLHE41,BIN1,KLF2,NAV3,RHOB,SALL1,SIGLEC8,SLC1A3,SPRY1,TAL1,CX3CR1,CX3CL1",,Microglial
Eye,Horizontal cells,"Rcvrn,Prox1,Ntrk1,Lhx1,Lim2,Calb2,CALB1,LIM1,DLG2,TFAP2B,ZEB2,Lim1",,Horizontal
Eye,Synapses,"SYP,DLG4,HOMER1,SLC32A1",,Synapses
Eye,Retinal pigment epithelial cells,"EZR,RPE65,BEST1,ANO2,BMP2,BMP4,CLU,EFEMP1,IL4,KCNJ5,MED1,RDH5,RGR,SBSPON,TGFBR1,TMEM98,TTC8,TRAF1,Cerkl ",,RPE
Eye,Cornea epithelial cells,"KRT3,KLF6",,CEP
Eye,Immune cells,"CD25,CD69,CD4,CD3,ITGAM,C1qa,Fcer1g,CD19,CD20,Trac,Ltb,Cd52,Trbc2",,Immune
Eye,Fibroblasts,"PAX6,COL1A1,TGFB1,ACTA2,ICAM1,FBLN1,CRHBP,FN1,PDGFRA",,Fibroblasts
Eye,Endothelial cells,"PECAM1,VWF,CDH5,BMP2,BMP4,CD34,CD55,FLT1,MED1,TGFBR1,TMEM98,TNFSF12,CD93,SLCO1A4,CLDN5,ICAM1,GNG11",,Endothelial
Eye,Pericytes,"Kcnj8, Rgs5, Dlk1,  Abcc9,SUR2B,DLK1,VCAM1",,Pericytes
Eye,Extracellular matrix cells,"ANTXR2,COL10A1,EFEMP1,LAMA2,SNTB1,TCF7L2,TGFBR1,TMEM98,VIPR2,ZIC2",,ECMs
Eye,Glycinergic amacrine cells,"Pax6,Tfap2a,Fut4,Calb2,Pvalb,Slc6a9,Pcp4,Vip,Thy1,STX1A,MIP, GNAS,ZEB2,TJP2,SEMA3D,POU6F2,KCNMA1,KCNA4,GRM3,GJD2,FRMPD2,Prox1,GlyT1,TgfB2,BE996002,Camkv,TCF4,Efna5,Dab1,Slc6a9",,Glycinergic ACs
Eye,Cholinergic GABAergic amacrine cells,"Pax6,Tfap2a,Gad2,Fut4,Calb2,Pvalb,Pcp4,Vip,Thy1,STX1A,MIP, GNAS, ISL1,Gad1,ZEB2,TJP2,SEMA3D,POU6F2,KCNMA1,KCNA4,GRM3,GJD2,FRMPD2,Prox1,Nr4a2,Ngn2,C1ql2,Reln,VAChT,Tac1,Scube2,Cpne4,Sox2,Slit,SCGN ",,Cholinergic GABAergic ACs
Eye,Tachykinin GABAergic amacrine cells,"Pax6,Tfap2a,Gad2,Fut4,Calb2,Pvalb,Pcp4,Vip,Thy1,STX1A,MIP, GNAS, ISL1,Gad1,ZEB2,TJP2,SEMA3D,POU6F2,KCNMA1,KCNA4,GRM3,GJD2,FRMPD2,Prox1,Nr4a2,Ngn2,C1ql2,Reln,ZPF58,Cdh4,Grik4,Grm8,Slit2,SCGN ",,Tachykinin GABAergic ACs
Eye,Starburst amacrine cells,"Pax6,Tfap2a,Fut4,Calb2,Pvalb,Pcp4,Vip,Thy1,STX1A,MIP, GNAS,ZEB2,TJP2,SEMA3D,POU6F2,KCNMA1,KCNA4,GRM3,GJD2,FRMPD2,Prox1,GAD1,CHAT,SLC5A7",,Starburst ACs
Kidney,Cancer stem cells,EPCAM,,CSCs
Kidney,Immune cells,"CD19,IGHA2,IGHG3,IGHM,IGKC,JCHAIN,CD40,CD79A,CPNE5,FCRL5,HLA-DRA,IGHA1,IGHG1,IGHG2,IGKV1-12,IGLC2,IGLC3,IGLC7,IGLL5,MS4A1,MZB1,PKHD1L1,PNOC,POU2AF1,TNFRSF13C,CD3D,TRAC,IL7R,CD3E,CD8A,TRBC2,CD52,FCGR3A,IL32,KLRD1,CD68,CXCL8,FCGR3B,MNDA,KIT,PTGS2,SLC18A2,Trac,Ltb,Cd52,Trbc2,Shisa5",,Immune
Kidney,?-intercalated cells (Collecting duct system),"FOXI1,OXGR1,ATP6V1G3,AQP6,CA2,NR1I4,SLC4A1,RHCG,ATP6V1B1,AVPR1A,P2RY14,FXYD2,TMEM213,CA2,DMRT2",,?-intercalated
Kidney,?-intercalated cells (Collecting duct system),"FOXI1,OXGR1,ATP6V1G3,SLC26A4,CA2,NR1I4,RHCG,ATP6V1B1,AVPR1A,INSRR,FXYD2,TMEM213,CA2,AP1S3",,?-intercalated cells
Kidney,Loop of Henle cells,"UMOD,AQP1,IRX1,IRX2,IRX3,MECOM,POU3F3,TBC1D4,SLC12A1,DEFB1,GEM,RGS5,CYP4B1,DRAM1,NEK6,CDKN1C,CALCRL,CLCNKA,CRYAB,SPP1,PPP1R1B,LRRC66,IGF1,CLDN1,CLDN10",,Henle loop
Kidney,Mesangial cells,"PDGFRB,PDGFB,LAMA4,ITGA8,LGALS1,ARID5B,CCR7,FN1,GATA3,PAWR,SERPINE2,TBX18,TEK,THY1,REN,ZEB2",,Mesangial cells
Kidney,Podocytes,"NPHS1,NPHS2,EZR,TDRD5,SEMA3G,SEMA5A,SEMA3E,PLA2R1,COL4A4,ARHGAP24,WT1,COL4A3,RHPN1,MAFB,PODXL,CLIC5,CD2AP,NOTCH2",,Podocytes
Kidney,Principal cells (Collecting duct system),"KCNE1,APELA,AQP2,AQP3,GATA3,ELF5,STC1,TBX3,CLDN4,KCNJ1,AVPR2,FXYD4,HSD11B2,SCNN1G",,Principal
Kidney,Inner Medullary cells (Collecting duct system),"S100A4,PLEKHB1,ALDH1A3,TM6SF1,SLC14A2",,IM
Kidney,Proximal tubule cells,"FXYD2,ATP1B1,SLC3A1,CUBN,PDZK1,LRP2,POU3F3,AGXT2,GSTA2,CYP2E1,CRYL1,GLYAT,SORD,UPB1,SOD3,HNF4A,CDKN3,NAPSA,SLC7A13,SLC17A3,HGD",,PT
Kidney,Cap mesenchyme cells (Mesenchymal cells),"SIX2,ITGA8,NR2F2,EYA1,MEIS2,CITED1,MUC1,NOTCH2",,Cap mesenchyme
Kidney,Endothelial cells,"TGFBR2,NOTCH4,ADGRL4,EMCN,ENG,PECAM1,PLAC8,PLVAP,TEK,KDR,VWF,MMRN1,CD93",,Endothelial
